fam,cell,n,net,pf,dd,mar,floor
A-ESETH,frozen#226cfg,2716,100136,1.125,51903,1.93,300
B-SOUP,short/1d,165,-17974,0.758,22323,-0.81,150
B-SOUP,short/3d,163,-88703,0.605,111256,-0.8,150
B-SOUP,long/1d,72,3432,1.056,24569,0.14,150
B-SOUP,long/3d,70,-59771,0.616,73715,-0.81,150
C-REACT,long/stop0.5,1290,3989,1.006,45008,0.09,300
C-REACT,short/stop0.5,338,-33533,0.885,51705,-0.65,300
C-REACT,long/stop0.75,1290,1176,1.002,65812,0.02,300
C-REACT,short/stop0.75,338,-60377,0.811,76349,-0.79,300
