rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
87,1125,242838,1.346,47005,5.17,31.1,0.238,17.8,74.7,0.61,1.53,906,8,15,"{'tl_len': 166, 'vol_mult': 1.0, 'stop_mult': 1.5, 'act_R': 1.0, 'trail_frac': 3.0, 'buf_atr': 0.35, 'min_brk': 2.3, 'ema_len': 580, 'atr_len': 44, 'regime_len': 60, 'cooldown_bars': 45, 'freeze_overnight': True, 'breakeven_R': 2.5}"
88,2567,40011,1.12,26031,1.54,15.3,0.102,17.4,170.4,0.25,0.93,153,4,15,"{'tl_len': 98, 'vol_mult': 3.4, 'stop_mult': 0.5, 'act_R': 2.0, 'trail_frac': 2.5, 'buf_atr': 0.6, 'min_brk': 1.5, 'ema_len': 1020, 'atr_len': 152, 'regime_len': 35, 'cooldown_bars': 240, 'freeze_overnight': False, 'breakeven_R': 0.0}"
89,888,160054,1.375,63659,2.51,22.1,0.292,17.2,58.9,0.37,1.21,617,3,15,"{'tl_len': 294, 'vol_mult': 3.4, 'stop_mult': 2.0, 'act_R': 1.5, 'trail_frac': 4.0, 'buf_atr': 0.6, 'min_brk': 1.3, 'ema_len': 1620, 'atr_len': 156, 'regime_len': 15, 'cooldown_bars': 145, 'freeze_overnight': False, 'breakeven_R': 1.5}"
90,2109,196701,1.206,54785,3.59,40.9,0.122,17.1,140.0,0.6,1.18,765,6,13,"{'tl_len': 106, 'vol_mult': 1.6, 'stop_mult': 1.7, 'act_R': 2.0, 'trail_frac': 2.0, 'buf_atr': 0.75, 'min_brk': 0.4, 'ema_len': 700, 'atr_len': 60, 'regime_len': 75, 'cooldown_bars': 25, 'freeze_overnight': True, 'breakeven_R': 3.0}"
91,1943,90098,1.175,27825,3.24,24.6,0.132,17.0,129.0,0.36,0.82,352,6,14,"{'tl_len': 198, 'vol_mult': 3.0, 'stop_mult': 1.6, 'act_R': 1.5, 'trail_frac': 2.5, 'buf_atr': 0.1, 'min_brk': 0.7, 'ema_len': 780, 'atr_len': 124, 'regime_len': 90, 'cooldown_bars': 225, 'freeze_overnight': False, 'breakeven_R': 1.0}"
92,1583,140388,1.204,39889,3.52,25.1,0.153,16.0,105.1,0.47,1.2,581,5,14,"{'tl_len': 290, 'vol_mult': 3.2, 'stop_mult': 1.0, 'act_R': 3.0, 'trail_frac': 1.5, 'buf_atr': 0.9, 'min_brk': 1.0, 'ema_len': 1020, 'atr_len': 80, 'regime_len': 85, 'cooldown_bars': 15, 'freeze_overnight': True, 'breakeven_R': 3.0}"
93,2687,55222,1.106,27139,2.03,15.6,0.09,16.0,178.4,0.26,0.79,229,4,13,"{'tl_len': 258, 'vol_mult': 3.0, 'stop_mult': 0.5, 'act_R': 2.5, 'trail_frac': 1.5, 'buf_atr': 0.65, 'min_brk': 1.0, 'ema_len': 1220, 'atr_len': 24, 'regime_len': 25, 'cooldown_bars': 65, 'freeze_overnight': False, 'breakeven_R': 1.5}"
94,1590,106807,1.202,79079,1.35,25.9,0.15,15.8,105.6,0.34,1.06,449,6,15,"{'tl_len': 138, 'vol_mult': 3.2, 'stop_mult': 1.2, 'act_R': 0.0, 'trail_frac': 3.5, 'buf_atr': 0.2, 'min_brk': 1.3, 'ema_len': 1260, 'atr_len': 56, 'regime_len': 35, 'cooldown_bars': 60, 'freeze_overnight': False, 'breakeven_R': 3.0}"
95,923,249686,1.389,34508,7.24,33.7,0.258,15.8,61.3,0.62,1.56,1049,8,9,"{'tl_len': 202, 'vol_mult': 0.1, 'stop_mult': 1.6, 'act_R': 0.0, 'trail_frac': 3.0, 'buf_atr': 0.95, 'min_brk': 2.2, 'ema_len': 620, 'atr_len': 104, 'regime_len': 65, 'cooldown_bars': 50, 'freeze_overnight': True, 'breakeven_R': 0.0}"
96,1624,159831,1.233,32517,4.92,38.6,0.143,15.4,107.8,0.59,1.16,689,7,14,"{'tl_len': 238, 'vol_mult': 2.9, 'stop_mult': 1.5, 'act_R': 1.5, 'trail_frac': 2.0, 'buf_atr': 0.25, 'min_brk': 1.4, 'ema_len': 460, 'atr_len': 132, 'regime_len': 35, 'cooldown_bars': 20, 'freeze_overnight': False, 'breakeven_R': 1.5}"
