cell,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8
GAPDN atr0.75/hold1,156,-2273,0.977,32535,-0.07,51.9,-0.011,-0.1,10.4,-0.03,-0.04,1344,
GAPDN atr0.75/hold2,152,-8316,0.925,29625,-0.28,57.9,-0.032,-0.3,10.1,-0.09,-0.11,1736,
GAPDN atr0.75/hold3,149,-17285,0.862,42681,-0.4,61.7,-0.053,-0.5,9.9,-0.16,-0.19,2198,
GAPDN atr0.75/hold5,141,21235,1.202,31730,0.67,65.2,0.07,0.7,9.4,0.2,0.27,2142,
GAPDN atr1.0/hold1,83,21399,1.428,17107,1.25,59.0,0.175,1.0,5.5,0.3,0.47,1470,
GAPDN atr1.0/hold2,82,36947,1.798,11264,3.28,67.1,0.263,1.4,5.4,0.48,0.72,1715,
GAPDN atr1.0/hold3,81,24773,1.412,24237,1.02,69.1,0.127,0.7,5.4,0.28,0.38,2405,
GAPDN atr1.0/hold5,79,51749,2.316,13356,3.87,72.2,0.366,1.9,5.2,0.69,1.09,1788,
"P2 7 legs, new legs at best single-leg settings (one look)",1714,623053,1.64,61090,10.2,67.8,0.206,23.5,113.8,1.88,2.64,1763,8
P3 best IBS alone (folds),380,126936,1.698,12971,9.79,67.9,0.224,5.7,25.2,1.0,1.5,1490,7
P3 best STREAK alone (folds),319,51579,1.392,15080,3.42,63.0,0.145,3.1,21.2,0.54,0.74,1116,6
P3 best GAPDN alone (folds),386,111114,1.531,23697,4.69,68.9,0.165,4.2,25.6,0.77,1.02,1743,6
