concept,cell,n,net,pf,dd,mar
ONDRIFT,always,3054,249189.36000000004,1.3026976688636185,59771.8000000008,4.169012142849917
ONDRIFT,uptrend,2541,282477.94,1.4978532828647515,19365.840000000084,14.586402655397276
ONDRIFT,after-down,1347,152800.97999999998,1.4211705533550212,30417.780000000464,5.0234099924451305
ONDRIFT,after-up,1700,97683.00000000003,1.2132998969955597,41510.300000000716,2.3532231759346076
ONDRIFT,short-downtrend,513,17221.42000000001,1.0746700458797023,15946.959999999994,1.079918680425612
VWTREND,long,3183,15209.220000000078,1.0107246399498728,69994.74000000079,0.2172908992875737
VWTREND,both,3346,-22343.359999999913,0.9856176969292619,145344.5400000012,-0.15372686170391903
AMBRK,buf0.0,2802,83800.68000000007,1.0878282038934286,35015.36000000016,2.393254845873345
AMBRK,buf0.25,1166,20545.440000000028,1.0480196799576156,33414.979999999996,0.6148571688506183
