run,famKey,strategy,instrument,timeframe,verdict,source,stretch,n,years,pf,win_pct,evr,ryr,net,dd,wf_years_src,params
244,ORB,ORB_3_6_S175.py,NQ,5m,PASS,candidate,pre,2429,15.18,1.261,44.8,0.144,23.1,13721,1331,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 1.75, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
245,NOISE,NOISE_1_1_SBA.py,NQ,5m,PASS,champion,pre,3026,14.68,1.258,34.6,0.168,34.7,102756,11048,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_all"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
245,NOISE,NOISE_1_1_SBA.py,NQ,5m,PASS,candidate,wf,2538,9.34,1.428,37.7,0.267,72.6,14988,797,estimate: optimize yrs x WF trade share,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_all"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
245,NOISE,NOISE_1_1_SBA.py,NQ,5m,PASS,candidate,pre,3991,14.68,1.379,36.2,0.242,65.8,15439,797,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_all"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
246,ORB,ORB_3_6_S225.py,NQ,5m,PASS,champion,pre,1795,15.18,1.096,47.0,0.051,6.0,49879,34101,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""be_after_R"": 1.0, ""stop_frac"": 2.25, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
246,ORB,ORB_3_6_S225.py,NQ,5m,PASS,candidate,wf,1454,9.09,1.321,49.7,0.161,25.8,15087,1705,estimate: optimize yrs x WF trade share,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.25, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
246,ORB,ORB_3_6_S225.py,NQ,5m,PASS,candidate,pre,2429,15.18,1.269,48.3,0.139,22.2,14827,1705,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.25, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,champion,pre,2343,15.06,1.348,26.3,0.257,39.9,201712,45044,optimize window,"{""buf_atr"": 0.9, ""vol_mult"": 0.8, ""ema_len"": 1380, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.1, ""regime_len"": 0, ""min_brk"": 1.3, ""breakeven_R"": 1.5, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,wf,1640,8.72,1.335,27.0,0.245,46.1,16648,2495,estimate: optimize yrs x WF trade share,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.3, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,pre,2833,15.06,1.317,25.8,0.235,44.2,18249,2495,optimize window,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.3, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,wf,1801,8.7,1.3,26.9,0.219,45.4,16014,2627,estimate: optimize yrs x WF trade share,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.1, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,pre,3118,15.06,1.279,26.1,0.206,42.7,17347,2627,optimize window,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.1, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,wf,1756,8.8,1.291,27.3,0.212,42.3,15172,2552,estimate: optimize yrs x WF trade share,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.2, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,pre,3004,15.06,1.276,26.2,0.204,40.7,16685,2552,optimize window,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.2, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,wf,1594,8.68,1.321,26.9,0.235,43.1,15615,2593,estimate: optimize yrs x WF trade share,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.4, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,pre,2767,15.06,1.302,25.7,0.225,41.3,17068,2593,optimize window,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.4, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,wf,1437,8.59,1.36,25.5,0.268,44.9,16194,2744,estimate: optimize yrs x WF trade share,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.6, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,candidate,pre,2520,15.06,1.344,24.2,0.261,43.7,17999,2744,optimize window,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.6, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,robust,wf,1537,8.72,1.304,26.5,0.223,39.3,14539,2521,estimate: optimize yrs x WF trade share,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,1m,WEAK,robust,pre,2655,15.06,1.293,25.2,0.219,38.6,16232,2521,optimize window,"{""buf_atr"": 0.9, ""ema_len"": 1380, ""breakeven_R"": 1.5, ""tl_len"": 170, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""vol_mult"": 0.8, ""atr_len"": 106, ""act_R"": 2.5}"
248,ENGU-Q,ENGUQ_1M_ETH_LIM20_1_0.py,NQ,1m,PASS,champion,pre,2005,15.06,1.38,25.8,0.282,37.5,194167,53798,optimize window,"{""buf_atr"": 0.9, ""breakeven_R"": 1.5, ""ema_len"": 1380, ""tl_len"": 170, ""vol_mult"": 0.8, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""limit_atr"": 0.2, ""atr_len"": 106, ""act_R"": 2.5}"
248,ENGU-Q,ENGUQ_1M_ETH_LIM20_1_0.py,NQ,1m,PASS,candidate,wf,1542,8.7,1.336,27.2,0.244,43.3,15934,2701,estimate: optimize yrs x WF trade share,"{""buf_atr"": 0.9, ""limit_atr"": 0.2, ""vol_mult"": 0.8, ""tl_len"": 170, ""breakeven_R"": 1.5, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""ema_len"": 1380, ""atr_len"": 106, ""act_R"": 2.5}"
248,ENGU-Q,ENGUQ_1M_ETH_LIM20_1_0.py,NQ,1m,PASS,candidate,pre,2670,15.06,1.325,25.9,0.241,42.8,17845,2701,optimize window,"{""buf_atr"": 0.9, ""limit_atr"": 0.2, ""vol_mult"": 0.8, ""tl_len"": 170, ""breakeven_R"": 1.5, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""ema_len"": 1380, ""atr_len"": 106, ""act_R"": 2.5}"
249,ENGU-Q,ENGUQ_1M_ETH_LIM50_1_0.py,NQ,1m,PASS,champion,pre,2016,15.06,1.465,27.0,0.34,45.5,228883,49425,optimize window,"{""buf_atr"": 0.9, ""breakeven_R"": 1.5, ""ema_len"": 1380, ""tl_len"": 170, ""vol_mult"": 0.8, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""limit_atr"": 0.5, ""atr_len"": 106, ""act_R"": 2.5}"
249,ENGU-Q,ENGUQ_1M_ETH_LIM50_1_0.py,NQ,1m,PASS,candidate,wf,1561,8.62,1.368,28.4,0.263,47.7,17402,3083,estimate: optimize yrs x WF trade share,"{""buf_atr"": 0.9, ""limit_atr"": 0.5, ""vol_mult"": 0.8, ""tl_len"": 170, ""breakeven_R"": 1.5, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""ema_len"": 1380, ""atr_len"": 106, ""act_R"": 2.5}"
249,ENGU-Q,ENGUQ_1M_ETH_LIM50_1_0.py,NQ,1m,PASS,candidate,pre,2726,15.06,1.355,26.9,0.259,46.9,19367,3083,optimize window,"{""buf_atr"": 0.9, ""limit_atr"": 0.5, ""vol_mult"": 0.8, ""tl_len"": 170, ""breakeven_R"": 1.5, ""stop_mult"": 1.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""ema_len"": 1380, ""atr_len"": 106, ""act_R"": 2.5}"
250,ORB,ORB_3_6_T50.py,NQ,5m,PASS,champion,pre,1795,15.18,1.108,46.2,0.058,6.9,54805,29142,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""be_after_R"": 1.0, ""stop_frac"": 2.0, ""trail_bars"": 0, ""target_R"": 5.0, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
250,ORB,ORB_3_6_T50.py,NQ,5m,PASS,candidate,wf,1454,9.09,1.33,48.4,0.17,27.2,15123,1457,estimate: optimize yrs x WF trade share,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.0, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 5.0, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
250,ORB,ORB_3_6_T50.py,NQ,5m,PASS,candidate,pre,2429,15.18,1.281,47.2,0.148,23.7,15103,1457,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.0, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 5.0, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
251,NOISE,NOISE_1_1_SBA.py,NQ,5m,PASS,champion,pre,3026,14.68,1.258,34.6,0.168,34.7,102756,11048,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_all"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
251,NOISE,NOISE_1_1_SBA.py,NQ,5m,PASS,candidate,wf,2538,9.34,1.428,37.7,0.267,72.6,14988,797,estimate: optimize yrs x WF trade share,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_all"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
251,NOISE,NOISE_1_1_SBA.py,NQ,5m,PASS,candidate,pre,3991,14.68,1.379,36.2,0.242,65.8,15439,797,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_all"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
252,NOISE,NOISE_1_1_SBS_V90.py,NQ,5m,PASS,champion,pre,3045,14.68,1.276,35.0,0.179,37.2,97917,9874,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_short"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 90.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
252,NOISE,NOISE_1_1_SBS_V90.py,NQ,5m,PASS,candidate,wf,2571,9.31,1.462,37.7,0.288,79.5,15184,921,estimate: optimize yrs x WF trade share,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_short"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 90.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
252,NOISE,NOISE_1_1_SBS_V90.py,NQ,5m,PASS,candidate,pre,4054,14.68,1.42,36.4,0.267,73.8,16007,921,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_short"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 90.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
253,NOISE,NOISE_1_1_SBS.py,NQ,5m,PASS,champion,pre,3584,14.68,1.25,35.0,0.163,39.7,120445,13649,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_short"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
253,NOISE,NOISE_1_1_SBS.py,NQ,5m,PASS,candidate,wf,3006,9.29,1.344,37.4,0.216,69.7,15194,928,estimate: optimize yrs x WF trade share,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_short"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
253,NOISE,NOISE_1_1_SBS.py,NQ,5m,PASS,candidate,pre,4748,14.68,1.315,36.2,0.201,65.0,16026,928,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""skip_bot_short"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
254,NOISE,NOISE_1_1_BASE.py,NQ,5m,PASS,champion,pre,3872,14.68,1.174,34.7,0.114,30.1,96611,16827,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""off"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
254,NOISE,NOISE_1_1_BASE.py,NQ,5m,PASS,candidate,wf,3192,9.16,1.274,37.1,0.172,60.0,13547,974,estimate: optimize yrs x WF trade share,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""off"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
254,NOISE,NOISE_1_1_BASE.py,NQ,5m,PASS,candidate,pre,5113,14.68,1.241,35.7,0.155,53.9,13856,974,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""off"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 0.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
255,ORB,ORB_3_6_T45.py,NQ,5m,PASS,champion,pre,1795,15.18,1.11,46.2,0.059,7.0,56020,29142,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""be_after_R"": 1.0, ""stop_frac"": 2.0, ""trail_bars"": 0, ""target_R"": 4.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
255,ORB,ORB_3_6_T45.py,NQ,5m,PASS,candidate,wf,1454,9.09,1.328,48.4,0.169,27.1,15064,1457,estimate: optimize yrs x WF trade share,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.0, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 4.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
255,ORB,ORB_3_6_T45.py,NQ,5m,PASS,candidate,pre,2429,15.18,1.281,47.2,0.148,23.7,15081,1457,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.0, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 4.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
256,NOISE,NOISE_1_1_V98.py,NQ,5m,PASS,champion,pre,3690,14.68,1.253,35.0,0.164,41.2,121275,16827,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""off"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 98.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
256,NOISE,NOISE_1_1_V98.py,NQ,5m,PASS,candidate,wf,3014,9.09,1.341,37.5,0.213,70.7,14837,959,estimate: optimize yrs x WF trade share,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""off"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 98.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
256,NOISE,NOISE_1_1_V98.py,NQ,5m,PASS,candidate,pre,4868,14.68,1.304,36.0,0.194,64.4,15453,959,optimize window,"{""daytype_lo"": 0.2, ""window"": ""all_day"", ""confirm_bars"": 1, ""daytype_mode"": ""off"", ""band_mult_long"": 0.75, ""vol_skip_pct"": 98.0, ""band_mult_short"": 1.5, ""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""daytype_hi"": 0.8, ""stop_k"": 1.75, ""exit_mode"": ""vwap""}"
257,ORB,ORB_3_6_E1.py,NQ,5m,PASS,champion,pre,1922,15.18,1.132,48.6,0.068,8.6,70796,25644,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.3, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""be_after_R"": 1.0, ""stop_frac"": 2.5, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.5}"
257,ORB,ORB_3_6_E1.py,NQ,5m,PASS,candidate,wf,1539,9.06,1.35,50.9,0.172,29.2,16620,1574,estimate: optimize yrs x WF trade share,"{""skip_holidays"": true, ""breakout_buf"": 0.3, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.5, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.5}"
257,ORB,ORB_3_6_E1.py,NQ,5m,PASS,candidate,pre,2580,15.18,1.289,49.5,0.146,24.7,16249,1574,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.3, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.5, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.5}"
258,BOOK,BOOK: ORB234 + NOISE SBA,,,PASS,champion,pre,6353,16.18,1.293,40.2,0.175,68.7,10629182,638891,optimize window,"{""book"": [""ORB_3_6_C2.py"", ""NOISE_1_1_SBA.py""]}"
259,ORB,ORB_3_6_E2.py,NQ,5m,WEAK,champion,pre,1933,15.18,1.128,44.7,0.071,9.0,65600,24263,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.3, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.0}"
259,ORB,ORB_3_6_E2.py,NQ,5m,WEAK,candidate,wf,1546,9.06,1.299,46.4,0.16,27.3,13852,1719,estimate: optimize yrs x WF trade share,"{""skip_holidays"": true, ""breakout_buf"": 0.3, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 1.75, ""be_after_R"": 1.0, ""trail_bars"": 0, ""target_R"": 5.5, ""partial_exit_R"": 0.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.0}"
