run,famKey,strategy,instrument,timeframe,verdict,source,stretch,n,years,pf,win_pct,evr,ryr,net,dd,wf_years_src,params
167,TTIBS,TTIBS_1_0.py,NQ,5m,WEAK,champion,pre,405,14.61,2.247,69.1,0.385,10.7,257873,15244,optimize window,"{""trigger"": ""ibs"", ""fill_mode"": ""close"", ""hold_cap"": 6, ""mon_drop"": 0.01, ""ibs_entry"": 0.3, ""ma200"": false, ""exit_mode"": ""ibs_exit""}"
168,TTIBS,TTIBS_1_0.py,NQ,5m,WEAK,champion,pre,469,14.61,2.0,68.9,0.311,10.0,250395,16893,optimize window,"{""trigger"": ""ibs"", ""fill_mode"": ""close"", ""hold_cap"": 8, ""mon_drop"": 0.01, ""ibs_entry"": 0.4, ""ma200"": false, ""exit_mode"": ""ibs_exit""}"
169,TTIBS,TTIBS_1_0.py,NQ,5m,FAIL,champion,pre,325,9.54,1.771,71.1,0.223,7.6,271185,43440,optimize window,"{""trigger"": ""ibs"", ""fill_mode"": ""close"", ""hold_cap"": 6, ""mon_drop"": 0.01, ""ibs_entry"": 0.4, ""ma200"": false, ""exit_mode"": ""ibs_exit""}"
170,TTIBS,TTIBS_1_0.py,NQ,5m,WEAK,champion,pre,485,15.1,2.07,69.7,0.324,10.4,276510,16565,optimize window,"{""trigger"": ""ibs"", ""fill_mode"": ""close"", ""hold_cap"": 8, ""mon_drop"": 0.01, ""ibs_entry"": 0.4, ""ma200"": false, ""exit_mode"": ""ibs_exit""}"
174,TTIBS,TTIBS_1_0.py,NQ,5m,WEAK,champion,pre,485,15.1,2.07,69.7,0.324,10.4,276510,16565,optimize window,"{""trigger"": ""ibs"", ""fill_mode"": ""close"", ""hold_cap"": 8, ""mon_drop"": 0.01, ""ibs_entry"": 0.4, ""ma200"": false, ""exit_mode"": ""ibs_exit""}"
180,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
181,ORB,ORB_3_0.py,NQ,5m,WEAK,champion,pre,2221,15.06,1.304,43.0,0.174,25.6,136767,20446,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.05, ""close_confirm"": false, ""vol_filter"": 1.0, ""flat_eod"": false, ""or_bars"": 3, ""stop_frac"": 0.75, ""target_R"": 2.5, ""trade_mode"": ""Both"", ""atr_filter"": 0.8}"
182,ENGU-Q,ENGUQ_1M_CTX_1_0.py,NQ,1m,PASS,champion,pre,1149,15.06,1.69,33.7,0.458,34.9,271544,35347,optimize window,"{""buf_atr"": 0.9, ""max_vix"": 0.0, ""vol_mult"": 0.8, ""tl_len"": 48, ""ema_len"": 390, ""stop_mult"": 1.0, ""max_tnx_chg20"": 0.0, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""breakeven_R"": 0.0, ""atr_len"": 30, ""act_R"": 2.5}"
183,ENGU-Q,ENGUQ_1M_CTX_1_0.py,NQ,1m,FAIL,champion,pre,1143,15.06,1.721,33.2,0.482,36.6,256336,22085,optimize window,"{""buf_atr"": 0.9, ""max_vix"": 40.0, ""vol_mult"": 0.8, ""tl_len"": 48, ""ema_len"": 390, ""stop_mult"": 1.0, ""max_tnx_chg20"": 0.4, ""trail_frac"": 2.5, ""regime_len"": 0, ""min_brk"": 1.3, ""breakeven_R"": 0.0, ""atr_len"": 30, ""act_R"": 2.5}"
184,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
185,ORB,ORB_3_0_ENS.py,NQ,5m,PASS,champion,pre,2787,15.06,1.567,46.8,0.302,55.8,181431,10611,optimize window,"{""breakout_buf"": 0.0, ""vol_filter"": 1.25, ""or_bars"": 1, ""be_after_R"": 1.0, ""stop_frac"": 1.75, ""trail_bars"": 12, ""target_R"": 4.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.1}"
