concept,cell,n,net,pf,dd,mar,note
B0,always-long RTH,3868,97767.12000000017,1.040445919531869,90626.0600000006,1.0787969817952974,drift yardstick
OOPS,stop0.5xATR/close,786,49542.86500000014,1.1393689570337617,23732.905,2.087517941861738,
OOPS,stop0.5xATR/pc,786,30513.615000000158,1.180186008941448,20062.15000000004,1.520954384250945,
OOPS,stop1.0xATR/close,786,25569.740000000005,1.0633990602562005,42756.40000000007,0.5980330430064263,
OOPS,stop1.0xATR/pc,786,2565.489999999968,1.012664584081935,27152.160000000007,0.09448566891179071,
NR7,nr7/close,586,35683.24000000002,1.1231624556501825,29249.1400000001,1.219975698430788,
NR7,nr7/2R,586,38963.24000000002,1.1354122152791775,28869.1400000001,1.349650180088492,
NR7,nr4/close,989,104672.26000000002,1.2195305716828495,33256.22000000006,3.1474491087682197,
NR7,nr4/2R,989,106952.26000000002,1.2252511407639295,33256.22000000006,3.2160077122414945,
NR7,inside/close,405,2187.7000000000144,1.0097650365359754,49549.42,0.04415187907345867,
NR7,inside/2R,405,2647.7000000000144,1.0118389406846577,49549.42,0.053435539709647754,
PIVOT,fade/stop0.5,3040,-88838.89999999851,0.918707058741412,113661.74000000038,-0.781607777603952,
PIVOT,fade/stop1.0,3040,-109696.3999999993,0.9232910331617388,174939.90666666746,-0.6270518950774113,
PIVOT,brk/stop0.5,3040,191857.7666666668,1.18682972417025,40624.413333333425,4.722720918882596,
PIVOT,brk/stop1.0,3040,208951.93333333355,1.1557543791994007,34638.826666666515,6.032304019535721,
MOC,60m/mom/thr0.0,3835,117193.90000000002,1.1499000874147187,25832.12000000046,4.536751145473075,
MOC,60m/mom/thr0.3,2238,117152.92000000001,1.2464597667982813,23121.380000000325,5.066865386062526,
MOC,60m/fade/thr0.0,3835,-198956.09999999998,0.7886437425051566,220771.1200000059,-0.901187166147432,
MOC,60m/fade/thr0.3,2238,-164867.08,0.7330328065370246,177733.60000000324,-0.9276078355471165,
MOC,30m/mom/thr0.0,3838,2311.920000000022,1.0035428933261046,40455.62000000011,0.057147066340844994,
MOC,30m/mom/thr0.3,2300,11301.999999999995,1.0271581737019682,40618.680000001,0.27824636349580334,
MOC,30m/fade/thr0.0,3838,-84138.07999999999,0.8790546405194487,111815.10000000433,-0.752475112931945,
MOC,30m/fade/thr0.3,2300,-60338.00000000001,0.8665106097273586,90653.62000000157,-0.6655884232753084,
SESSBRK,asia/opp,3544,-53559.039999999964,0.9434863864642785,63877.88000000588,-0.8384598862704121,"NQ 1m ETH, 0.783 costs"
SESSBRK,asia/half,3544,-61136.53999999999,0.9269731004513783,71338.04000000506,-0.856997753232296,"NQ 1m ETH, 0.783 costs"
SESSBRK,london/opp,3814,144922.76000000013,1.0730945690135367,81378.80000000061,1.7808416934139977,"NQ 1m ETH, 0.783 costs"
SESSBRK,london/half,3814,161730.26000000007,1.1121583055522428,43069.07999999997,3.7551361672921773,"NQ 1m ETH, 0.783 costs"
PAIRS,z2.0/w390,541,-113861.21,0.7849055148102203,143360.2299999996,-0.794231496419895,both legs costed $28.81/RT
PAIRS,z2.0/w1170,318,-9146.580000000005,0.9728789381719031,59043.23999999998,-0.15491324663077446,both legs costed $28.81/RT
PAIRS,z2.5/w390,422,-96895.31999999996,0.7783627342466222,132267.07999999984,-0.7325732147409626,both legs costed $28.81/RT
PAIRS,z2.5/w1170,206,6307.639999999996,1.0291006978983697,44134.18000000001,0.14291961468412906,both legs costed $28.81/RT
