rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
13,586,33889,1.166,47963,0.71,57.3,0.071,2.8,38.9,0.24,0.29,815,4,1,"{'length': 14, 'bb_mult': 1.5, 'kc_mult': 1.25, 'min_sq_bars': 7, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 1, 'stop_atr': 3.25, 'eod_cutoff': 1, 'gate_tf_min': 120, 'gate_mode': 'none', 'gate_bars': 1, 'gate_len': 12, 'gate_ratio': 0.8, 'gate_fired_k': 2, 'direction': 'long'}"
14,457,25266,1.164,18923,1.34,45.5,0.09,2.7,30.4,0.25,0.42,617,4,0,"{'length': 18, 'bb_mult': 2.5, 'kc_mult': 1.75, 'min_sq_bars': 1, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 1.5, 'eod_cutoff': 2, 'gate_tf_min': 240, 'gate_mode': 'sign', 'gate_bars': 0, 'gate_len': 26, 'gate_ratio': 1.5, 'gate_fired_k': 4, 'direction': 'both'}"
15,73,19824,1.968,5261,3.77,49.3,0.491,2.4,4.8,0.35,1.06,553,5,1,"{'length': 18, 'bb_mult': 2.0, 'kc_mult': 1.0, 'min_sq_bars': 2, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 1.5, 'eod_cutoff': 0, 'gate_tf_min': 60, 'gate_mode': 'none', 'gate_bars': 0, 'gate_len': 16, 'gate_ratio': 1.1, 'gate_fired_k': 2, 'direction': 'short'}"
16,327,15212,1.143,13150,1.16,45.3,0.078,1.7,21.7,0.21,0.33,596,4,1,"{'length': 20, 'bb_mult': 1.75, 'kc_mult': 2.0, 'min_sq_bars': 3, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 1.25, 'eod_cutoff': 7, 'gate_tf_min': 60, 'gate_mode': 'sign', 'gate_bars': 13, 'gate_len': 22, 'gate_ratio': 1.25, 'gate_fired_k': 1, 'direction': 'both'}"
17,95,12175,1.466,6562,1.86,47.4,0.245,1.5,6.3,0.29,0.53,522,5,0,"{'length': 26, 'bb_mult': 2.0, 'kc_mult': 1.75, 'min_sq_bars': 4, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 2.25, 'eod_cutoff': 1, 'gate_tf_min': 150, 'gate_mode': 'rising', 'gate_bars': 5, 'gate_len': 24, 'gate_ratio': 1.55, 'gate_fired_k': 3, 'direction': 'long'}"
18,165,14569,1.224,10172,1.43,43.6,0.126,1.4,11.0,0.2,0.33,698,4,0,"{'length': 20, 'bb_mult': 2.25, 'kc_mult': 1.75, 'min_sq_bars': 4, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 2.75, 'eod_cutoff': 4, 'gate_tf_min': 120, 'gate_mode': 'none', 'gate_bars': 4, 'gate_len': 16, 'gate_ratio': 0.95, 'gate_fired_k': 4, 'direction': 'short'}"
19,2,719,21.154,36,20.15,50.0,10.077,1.3,0.1,0,0,36,0,0,"{'length': 22, 'bb_mult': 2.0, 'kc_mult': 1.25, 'min_sq_bars': 6, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 3.0, 'eod_cutoff': 7, 'gate_tf_min': 90, 'gate_mode': 'sq_on', 'gate_bars': 13, 'gate_len': 32, 'gate_ratio': 1.45, 'gate_fired_k': 4, 'direction': 'short'}"
20,18,4756,2.996,891,5.34,55.6,0.887,1.1,1.2,0.42,1.21,298,5,1,"{'length': 16, 'bb_mult': 2.0, 'kc_mult': 1.0, 'min_sq_bars': 4, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 1, 'stop_atr': 2.25, 'eod_cutoff': 6, 'gate_tf_min': 60, 'gate_mode': 'rising', 'gate_bars': 1, 'gate_len': 16, 'gate_ratio': 0.9, 'gate_fired_k': 1, 'direction': 'long'}"
21,75,7078,1.467,7832,0.9,54.7,0.212,1.1,5.0,0.25,0.39,445,4,0,"{'length': 32, 'bb_mult': 2.5, 'kc_mult': 2.0, 'min_sq_bars': 4, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 1.75, 'eod_cutoff': 4, 'gate_tf_min': 90, 'gate_mode': 'sign', 'gate_bars': 10, 'gate_len': 14, 'gate_ratio': 0.95, 'gate_fired_k': 1, 'direction': 'long'}"
22,191,14613,1.169,17565,0.83,53.4,0.079,1.0,12.7,0.17,0.25,972,4,0,"{'length': 16, 'bb_mult': 1.5, 'kc_mult': 1.75, 'min_sq_bars': 3, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 1, 'stop_atr': 2.0, 'eod_cutoff': 7, 'gate_tf_min': 240, 'gate_mode': 'rising', 'gate_bars': 0, 'gate_len': 22, 'gate_ratio': 1.05, 'gate_fired_k': 3, 'direction': 'both'}"
23,15,6760,3.542,1196,5.65,60.0,1.017,1.0,1.0,0.29,1.08,443,5,1,"{'length': 12, 'bb_mult': 1.75, 'kc_mult': 1.0, 'min_sq_bars': 6, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 2.75, 'eod_cutoff': 2, 'gate_tf_min': 60, 'gate_mode': 'fired', 'gate_bars': 13, 'gate_len': 12, 'gate_ratio': 0.95, 'gate_fired_k': 2, 'direction': 'long'}"
24,32,10390,2.159,4827,2.15,59.4,0.471,1.0,2.1,0.35,0.78,690,5,0,"{'length': 18, 'bb_mult': 2.25, 'kc_mult': 1.75, 'min_sq_bars': 4, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 3.25, 'eod_cutoff': 5, 'gate_tf_min': 210, 'gate_mode': 'rising', 'gate_bars': 8, 'gate_len': 18, 'gate_ratio': 1.4, 'gate_fired_k': 3, 'direction': 'short'}"
25,51,8025,1.508,5816,1.38,47.1,0.269,0.9,3.4,0.23,0.46,585,5,0,"{'length': 28, 'bb_mult': 2.25, 'kc_mult': 1.75, 'min_sq_bars': 4, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 2.0, 'eod_cutoff': 1, 'gate_tf_min': 240, 'gate_mode': 'rising', 'gate_bars': 13, 'gate_len': 26, 'gate_ratio': 0.85, 'gate_fired_k': 5, 'direction': 'both'}"
26,27,4628,1.777,2553,1.81,44.4,0.432,0.8,1.8,0.26,0.51,397,4,0,"{'length': 14, 'bb_mult': 1.75, 'kc_mult': 1.75, 'min_sq_bars': 4, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 1.0, 'eod_cutoff': 2, 'gate_tf_min': 240, 'gate_mode': 'fired', 'gate_bars': 16, 'gate_len': 24, 'gate_ratio': 0.8, 'gate_fired_k': 1, 'direction': 'both'}"
27,99,5920,1.258,9235,0.64,59.6,0.104,0.7,6.6,0.18,0.26,573,4,0,"{'length': 26, 'bb_mult': 2.5, 'kc_mult': 2.0, 'min_sq_bars': 7, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 3.5, 'eod_cutoff': 3, 'gate_tf_min': 120, 'gate_mode': 'sign', 'gate_bars': 10, 'gate_len': 20, 'gate_ratio': 1.15, 'gate_fired_k': 3, 'direction': 'long'}"
28,2,2354,8.7,306,7.7,50.0,3.85,0.5,0.1,0,0,306,0,0,"{'length': 32, 'bb_mult': 1.75, 'kc_mult': 1.0, 'min_sq_bars': 6, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 2.0, 'eod_cutoff': 1, 'gate_tf_min': 240, 'gate_mode': 'sign', 'gate_bars': 16, 'gate_len': 28, 'gate_ratio': 1.5, 'gate_fired_k': 2, 'direction': 'short'}"
29,78,6591,1.2,11203,0.59,47.4,0.105,0.5,5.2,0.13,0.2,806,3,0,"{'length': 22, 'bb_mult': 1.5, 'kc_mult': 1.25, 'min_sq_bars': 4, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 2, 'stop_atr': 3.25, 'eod_cutoff': 2, 'gate_tf_min': 90, 'gate_mode': 'sq_on', 'gate_bars': 3, 'gate_len': 24, 'gate_ratio': 1.3, 'gate_fired_k': 5, 'direction': 'short'}"
30,171,2641,1.052,11671,0.23,56.7,0.023,0.3,11.4,0.05,0.07,684,3,0,"{'length': 14, 'bb_mult': 2.5, 'kc_mult': 1.5, 'min_sq_bars': 5, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 1, 'stop_atr': 2.5, 'eod_cutoff': 1, 'gate_tf_min': 180, 'gate_mode': 'sign', 'gate_bars': 6, 'gate_len': 24, 'gate_ratio': 1.05, 'gate_fired_k': 1, 'direction': 'long'}"
31,303,1421,1.024,13017,0.11,46.9,0.013,0.3,20.1,0.03,0.06,367,4,0,"{'length': 18, 'bb_mult': 2.5, 'kc_mult': 1.5, 'min_sq_bars': 1, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 1.0, 'eod_cutoff': 1, 'gate_tf_min': 150, 'gate_mode': 'sign', 'gate_bars': 8, 'gate_len': 26, 'gate_ratio': 1.6, 'gate_fired_k': 2, 'direction': 'long'}"
32,43,2126,1.161,4875,0.44,60.5,0.064,0.2,2.9,0.08,0.1,777,5,0,"{'length': 18, 'bb_mult': 1.5, 'kc_mult': 1.5, 'min_sq_bars': 1, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 3.5, 'eod_cutoff': 4, 'gate_tf_min': 210, 'gate_mode': 'fired', 'gate_bars': 4, 'gate_len': 26, 'gate_ratio': 1.35, 'gate_fired_k': 4, 'direction': 'long'}"
33,16,1121,1.334,1532,0.73,37.5,0.209,0.2,1.1,0.07,0.18,336,2,1,"{'length': 24, 'bb_mult': 1.5, 'kc_mult': 1.0, 'min_sq_bars': 5, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 1.0, 'eod_cutoff': 5, 'gate_tf_min': 90, 'gate_mode': 'rising', 'gate_bars': 0, 'gate_len': 30, 'gate_ratio': 1.5, 'gate_fired_k': 4, 'direction': 'long'}"
34,8,3037,1.453,6215,0.49,62.5,0.17,0.1,0.5,0.11,0.16,2235,5,0,"{'length': 26, 'bb_mult': 1.5, 'kc_mult': 1.25, 'min_sq_bars': 5, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 3.0, 'eod_cutoff': 8, 'gate_tf_min': 210, 'gate_mode': 'rising', 'gate_bars': 2, 'gate_len': 26, 'gate_ratio': 1.35, 'gate_fired_k': 3, 'direction': 'short'}"
35,63,1949,1.062,15136,0.13,49.2,0.032,0.1,4.2,0.04,0.06,981,4,0,"{'length': 30, 'bb_mult': 2.25, 'kc_mult': 2.0, 'min_sq_bars': 5, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 3.5, 'eod_cutoff': 0, 'gate_tf_min': 240, 'gate_mode': 'sq_on', 'gate_bars': 2, 'gate_len': 18, 'gate_ratio': 1.3, 'gate_fired_k': 6, 'direction': 'short'}"
36,4,-2824,0.155,3342,-0.85,75.0,-0.211,-0.1,0.3,-0.24,-0.22,3342,0,0,"{'length': 14, 'bb_mult': 2.5, 'kc_mult': 1.75, 'min_sq_bars': 3, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 2.0, 'eod_cutoff': 3, 'gate_tf_min': 150, 'gate_mode': 'fired', 'gate_bars': 16, 'gate_len': 24, 'gate_ratio': 0.85, 'gate_fired_k': 4, 'direction': 'long'}"
37,2,-1136,0.0,1136,-1.0,0.0,-1.0,-0.1,0.1,0,0,568,0,0,"{'length': 30, 'bb_mult': 2.5, 'kc_mult': 1.25, 'min_sq_bars': 7, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 1, 'stop_atr': 3.25, 'eod_cutoff': 3, 'gate_tf_min': 120, 'gate_mode': 'none', 'gate_bars': 5, 'gate_len': 16, 'gate_ratio': 0.95, 'gate_fired_k': 6, 'direction': 'short'}"
38,1,-31,0.0,31,-1.0,0.0,-1.0,-0.1,0.1,0,0,31,0,0,"{'length': 32, 'bb_mult': 2.25, 'kc_mult': 1.5, 'min_sq_bars': 6, 'entry_fill': 'open', 'exit_mode': 'fade', 'fade_bars': 2, 'stop_atr': 1.5, 'eod_cutoff': 8, 'gate_tf_min': 180, 'gate_mode': 'rising', 'gate_bars': 0, 'gate_len': 22, 'gate_ratio': 1.45, 'gate_fired_k': 2, 'direction': 'short'}"
39,139,-3297,0.95,14150,-0.23,48.9,-0.025,-0.2,9.2,-0.05,-0.06,934,4,1,"{'length': 22, 'bb_mult': 2.0, 'kc_mult': 2.0, 'min_sq_bars': 4, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 1, 'stop_atr': 3.5, 'eod_cutoff': 7, 'gate_tf_min': 30, 'gate_mode': 'fired', 'gate_bars': 5, 'gate_len': 32, 'gate_ratio': 1.6, 'gate_fired_k': 4, 'direction': 'both'}"
40,11,-2159,0.618,3123,-0.69,36.4,-0.243,-0.2,0.7,-0.17,-0.23,808,2,1,"{'length': 26, 'bb_mult': 2.5, 'kc_mult': 1.25, 'min_sq_bars': 2, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 3.0, 'eod_cutoff': 2, 'gate_tf_min': 30, 'gate_mode': 'sq_on', 'gate_bars': 3, 'gate_len': 22, 'gate_ratio': 1.5, 'gate_fired_k': 4, 'direction': 'short'}"
41,9,-3205,0.151,3313,-0.97,55.6,-0.377,-0.2,0.6,-0.33,-0.3,944,5,0,"{'length': 26, 'bb_mult': 2.25, 'kc_mult': 1.25, 'min_sq_bars': 5, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 2, 'stop_atr': 2.0, 'eod_cutoff': 1, 'gate_tf_min': 210, 'gate_mode': 'rising', 'gate_bars': 6, 'gate_len': 30, 'gate_ratio': 1.5, 'gate_fired_k': 6, 'direction': 'long'}"
42,116,-5182,0.888,14906,-0.35,42.2,-0.065,-0.5,7.7,-0.1,-0.14,691,5,0,"{'length': 20, 'bb_mult': 1.5, 'kc_mult': 1.25, 'min_sq_bars': 2, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 1, 'stop_atr': 2.75, 'eod_cutoff': 3, 'gate_tf_min': 150, 'gate_mode': 'sq_on', 'gate_bars': 3, 'gate_len': 16, 'gate_ratio': 1.15, 'gate_fired_k': 3, 'direction': 'short'}"
43,622,-5702,0.977,33111,-0.17,46.6,-0.012,-0.5,41.3,-0.04,-0.06,758,4,0,"{'length': 12, 'bb_mult': 2.5, 'kc_mult': 1.75, 'min_sq_bars': 7, 'entry_fill': 'range_break', 'exit_mode': 'fade', 'fade_bars': 3, 'stop_atr': 3.0, 'eod_cutoff': 3, 'gate_tf_min': 120, 'gate_mode': 'none', 'gate_bars': 4, 'gate_len': 32, 'gate_ratio': 1.55, 'gate_fired_k': 6, 'direction': 'both'}"
44,145,-4127,0.913,10131,-0.41,44.1,-0.048,-0.5,9.6,-0.09,-0.14,589,4,0,"{'length': 32, 'bb_mult': 1.5, 'kc_mult': 1.5, 'min_sq_bars': 4, 'entry_fill': 'range_break', 'exit_mode': 'ride', 'fade_bars': 3, 'stop_atr': 1.25, 'eod_cutoff': 3, 'gate_tf_min': 240, 'gate_mode': 'sq_on', 'gate_bars': 12, 'gate_len': 28, 'gate_ratio': 1.45, 'gate_fired_k': 3, 'direction': 'both'}"
45,303,-7172,0.939,16361,-0.44,36.3,-0.039,-0.8,20.1,-0.09,-0.15,608,3,1,"{'length': 30, 'bb_mult': 1.75, 'kc_mult': 2.0, 'min_sq_bars': 3, 'entry_fill': 'open', 'exit_mode': 'ride', 'fade_bars': 2, 'stop_atr': 1.0, 'eod_cutoff': 8, 'gate_tf_min': 60, 'gate_mode': 'sign', 'gate_bars': 14, 'gate_len': 16, 'gate_ratio': 1.2, 'gate_fired_k': 5, 'direction': 'both'}"
