rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
223,1994,8154,1.02,43186,0.19,26.4,0.015,1.9,132.4,0.05,0.1,281,4,1,"{'or_bars': 8, 'trade_mode': 'First-candle dir', 'stop_frac': 1.0, 'vpace_filter': 0.7, 'breakout_buf': 0.3, 'close_confirm': True, 'partial_exit_R': 0.0, 'trail_bars': 14, 'be_after_R': 3.1, 'atr_filter': 0.3, 'target_R': 8.0, 'flat_eod': False, 'skip_holidays': False}"
224,2164,26425,1.025,44264,0.6,46.4,0.013,1.9,143.7,0.08,0.12,917,3,2,"{'or_bars': 11, 'trade_mode': 'Short Only', 'stop_frac': 1.75, 'vpace_filter': 0.1, 'breakout_buf': 0.0, 'close_confirm': False, 'partial_exit_R': 5.5, 'trail_bars': 2, 'be_after_R': 3.1, 'atr_filter': 0.4, 'target_R': 6.0, 'flat_eod': True, 'skip_holidays': False}"
225,440,24945,1.119,20420,1.22,45.2,0.065,1.9,29.2,0.15,0.31,868,3,1,"{'or_bars': 5, 'trade_mode': 'Long Only', 'stop_frac': 1.0, 'vpace_filter': 0.8, 'breakout_buf': 0.05, 'close_confirm': True, 'partial_exit_R': 6.0, 'trail_bars': 5, 'be_after_R': 1.1, 'atr_filter': 1.4, 'target_R': 5.5, 'flat_eod': True, 'skip_holidays': True}"
226,2568,22089,1.021,92516,0.24,49.7,0.011,1.8,170.6,0.07,0.11,798,2,1,"{'or_bars': 12, 'trade_mode': 'Both', 'stop_frac': 2.5, 'vpace_filter': 0.0, 'breakout_buf': 0.4, 'close_confirm': False, 'partial_exit_R': 3.5, 'trail_bars': 0, 'be_after_R': 3.1, 'atr_filter': 0.2, 'target_R': 4.0, 'flat_eod': True, 'skip_holidays': True}"
227,388,17351,1.112,15217,1.14,36.6,0.071,1.8,25.8,0.14,0.21,631,3,1,"{'or_bars': 8, 'trade_mode': 'Short Only', 'stop_frac': 2.5, 'vpace_filter': 0.4, 'breakout_buf': 0.45, 'close_confirm': False, 'partial_exit_R': 1.0, 'trail_bars': 4, 'be_after_R': 0.2, 'atr_filter': 1.3, 'target_R': 6.5, 'flat_eod': False, 'skip_holidays': False}"
228,357,30757,1.163,26272,1.17,54.1,0.075,1.8,23.7,0.21,0.32,1150,5,1,"{'or_bars': 10, 'trade_mode': 'Both', 'stop_frac': 1.75, 'vpace_filter': 0.8, 'breakout_buf': 0.45, 'close_confirm': False, 'partial_exit_R': 3.0, 'trail_bars': 8, 'be_after_R': 2.5, 'atr_filter': 1.5, 'target_R': 1.0, 'flat_eod': True, 'skip_holidays': False}"
229,956,11617,1.041,51375,0.23,30.9,0.028,1.8,63.5,0.08,0.11,428,6,1,"{'or_bars': 3, 'trade_mode': 'First-candle dir', 'stop_frac': 1.5, 'vpace_filter': 0.1, 'breakout_buf': 0.2, 'close_confirm': True, 'partial_exit_R': 4.5, 'trail_bars': 16, 'be_after_R': 0.2, 'atr_filter': 1.2, 'target_R': 1.0, 'flat_eod': False, 'skip_holidays': False}"
230,382,20499,1.153,14363,1.43,52.9,0.072,1.8,25.4,0.22,0.35,745,5,2,"{'or_bars': 7, 'trade_mode': 'Long Only', 'stop_frac': 0.75, 'vpace_filter': 1.3, 'breakout_buf': 0.1, 'close_confirm': False, 'partial_exit_R': 4.0, 'trail_bars': 19, 'be_after_R': 2.4, 'atr_filter': 0.0, 'target_R': 1.0, 'flat_eod': True, 'skip_holidays': False}"
231,344,28883,1.147,20536,1.41,48.5,0.076,1.7,22.8,0.19,0.29,1109,4,1,"{'or_bars': 12, 'trade_mode': 'Short Only', 'stop_frac': 2.0, 'vpace_filter': 0.7, 'breakout_buf': 0.15, 'close_confirm': False, 'partial_exit_R': 1.0, 'trail_bars': 14, 'be_after_R': 0.9, 'atr_filter': 1.4, 'target_R': 3.5, 'flat_eod': False, 'skip_holidays': True}"
232,729,23920,1.075,20958,1.14,52.8,0.035,1.7,48.4,0.14,0.21,925,4,2,"{'or_bars': 6, 'trade_mode': 'Long Only', 'stop_frac': 2.25, 'vpace_filter': 1.1, 'breakout_buf': 0.25, 'close_confirm': True, 'partial_exit_R': 1.5, 'trail_bars': 5, 'be_after_R': 1.9, 'atr_filter': 0.0, 'target_R': 8.0, 'flat_eod': False, 'skip_holidays': False}"
233,1125,28310,1.045,45553,0.62,50.7,0.022,1.7,74.7,0.1,0.16,1136,2,1,"{'or_bars': 10, 'trade_mode': 'Both', 'stop_frac': 2.25, 'vpace_filter': 0.7, 'breakout_buf': 0.1, 'close_confirm': False, 'partial_exit_R': 5.5, 'trail_bars': 7, 'be_after_R': 1.7, 'atr_filter': 1.2, 'target_R': 6.0, 'flat_eod': False, 'skip_holidays': True}"
234,899,12211,1.042,29825,0.41,33.1,0.028,1.7,59.7,0.09,0.17,481,5,1,"{'or_bars': 9, 'trade_mode': 'First-candle dir', 'stop_frac': 0.5, 'vpace_filter': 0.9, 'breakout_buf': 0.35, 'close_confirm': False, 'partial_exit_R': 4.0, 'trail_bars': 12, 'be_after_R': 1.0, 'atr_filter': 1.0, 'target_R': 4.0, 'flat_eod': True, 'skip_holidays': True}"
235,387,14027,1.1,25629,0.55,37.0,0.063,1.6,25.7,0.12,0.27,574,3,4,"{'or_bars': 1, 'trade_mode': 'Long Only', 'stop_frac': 1.25, 'vpace_filter': 1.4, 'breakout_buf': 0.35, 'close_confirm': False, 'partial_exit_R': 5.0, 'trail_bars': 3, 'be_after_R': 0.0, 'atr_filter': 0.1, 'target_R': 5.5, 'flat_eod': False, 'skip_holidays': True}"
236,84,22735,1.771,6994,3.25,61.9,0.294,1.6,5.6,0.33,0.71,922,5,1,"{'or_bars': 9, 'trade_mode': 'Long Only', 'stop_frac': 1.5, 'vpace_filter': 1.1, 'breakout_buf': 0.5, 'close_confirm': True, 'partial_exit_R': 2.0, 'trail_bars': 0, 'be_after_R': 2.3, 'atr_filter': 1.5, 'target_R': 4.5, 'flat_eod': True, 'skip_holidays': False}"
237,305,28125,1.172,18798,1.5,54.8,0.078,1.6,20.3,0.21,0.33,1182,5,1,"{'or_bars': 9, 'trade_mode': 'First-candle dir', 'stop_frac': 1.5, 'vpace_filter': 0.9, 'breakout_buf': 0.1, 'close_confirm': True, 'partial_exit_R': 4.5, 'trail_bars': 6, 'be_after_R': 1.7, 'atr_filter': 1.5, 'target_R': 1.5, 'flat_eod': True, 'skip_holidays': True}"
238,2107,22204,1.027,34116,0.65,57.9,0.011,1.6,139.9,0.1,0.13,936,5,2,"{'or_bars': 6, 'trade_mode': 'First-candle dir', 'stop_frac': 1.5, 'vpace_filter': 0.8, 'breakout_buf': 0.35, 'close_confirm': False, 'partial_exit_R': 0.5, 'trail_bars': 16, 'be_after_R': 2.2, 'atr_filter': 0.4, 'target_R': 1.0, 'flat_eod': True, 'skip_holidays': False}"
239,196,5687,1.157,15418,0.37,22.4,0.122,1.6,13.0,0.11,0.17,238,4,1,"{'or_bars': 6, 'trade_mode': 'Long Only', 'stop_frac': 1.25, 'vpace_filter': 1.3, 'breakout_buf': 0.3, 'close_confirm': False, 'partial_exit_R': 3.5, 'trail_bars': 2, 'be_after_R': 0.1, 'atr_filter': 1.1, 'target_R': 5.0, 'flat_eod': False, 'skip_holidays': False}"
240,408,24580,1.128,28835,0.85,56.9,0.055,1.5,27.1,0.2,0.27,1093,4,1,"{'or_bars': 10, 'trade_mode': 'Short Only', 'stop_frac': 1.75, 'vpace_filter': 0.6, 'breakout_buf': 0.3, 'close_confirm': False, 'partial_exit_R': 0.5, 'trail_bars': 3, 'be_after_R': 0.8, 'atr_filter': 1.3, 'target_R': 3.0, 'flat_eod': False, 'skip_holidays': True}"
241,168,19678,1.33,10695,1.84,59.5,0.134,1.5,11.2,0.25,0.34,877,5,2,"{'or_bars': 11, 'trade_mode': 'Long Only', 'stop_frac': 2.25, 'vpace_filter': 1.3, 'breakout_buf': 0.4, 'close_confirm': True, 'partial_exit_R': 0.0, 'trail_bars': 0, 'be_after_R': 0.9, 'atr_filter': 0.1, 'target_R': 4.0, 'flat_eod': True, 'skip_holidays': True}"
242,426,26724,1.108,30802,0.87,50.2,0.054,1.5,28.3,0.16,0.23,1165,5,1,"{'or_bars': 5, 'trade_mode': 'Both', 'stop_frac': 2.5, 'vpace_filter': 1.2, 'breakout_buf': 0.15, 'close_confirm': True, 'partial_exit_R': 4.0, 'trail_bars': 19, 'be_after_R': 0.9, 'atr_filter': 1.3, 'target_R': 4.0, 'flat_eod': False, 'skip_holidays': True}"
243,1033,16084,1.039,61963,0.26,45.8,0.021,1.4,68.6,0.1,0.16,741,4,2,"{'or_bars': 7, 'trade_mode': 'Both', 'stop_frac': 0.75, 'vpace_filter': 1.2, 'breakout_buf': 0.3, 'close_confirm': False, 'partial_exit_R': 3.0, 'trail_bars': 0, 'be_after_R': 3.4, 'atr_filter': 0.6, 'target_R': 1.5, 'flat_eod': True, 'skip_holidays': True}"
244,354,4281,1.077,11425,0.37,27.1,0.056,1.3,23.5,0.08,0.2,215,3,3,"{'or_bars': 11, 'trade_mode': 'Long Only', 'stop_frac': 2.0, 'vpace_filter': 1.3, 'breakout_buf': 0.0, 'close_confirm': False, 'partial_exit_R': 0.0, 'trail_bars': 8, 'be_after_R': 3.6, 'atr_filter': 0.7, 'target_R': 8.0, 'flat_eod': True, 'skip_holidays': True}"
245,360,15051,1.122,17791,0.85,55.6,0.054,1.3,23.9,0.13,0.2,771,4,1,"{'or_bars': 11, 'trade_mode': 'Long Only', 'stop_frac': 2.5, 'vpace_filter': 0.7, 'breakout_buf': 0.5, 'close_confirm': True, 'partial_exit_R': 0.5, 'trail_bars': 16, 'be_after_R': 2.7, 'atr_filter': 1.2, 'target_R': 5.0, 'flat_eod': False, 'skip_holidays': False}"
246,98,9132,1.34,10028,0.91,42.9,0.194,1.3,6.5,0.19,0.45,480,2,1,"{'or_bars': 9, 'trade_mode': 'Long Only', 'stop_frac': 0.5, 'vpace_filter': 1.4, 'breakout_buf': 0.5, 'close_confirm': True, 'partial_exit_R': 3.5, 'trail_bars': 16, 'be_after_R': 2.4, 'atr_filter': 0.8, 'target_R': 3.0, 'flat_eod': False, 'skip_holidays': True}"
247,179,19413,1.217,11062,1.75,51.4,0.106,1.3,11.9,0.21,0.33,1027,5,1,"{'or_bars': 8, 'trade_mode': 'Long Only', 'stop_frac': 1.5, 'vpace_filter': 1.1, 'breakout_buf': 0.15, 'close_confirm': False, 'partial_exit_R': 4.5, 'trail_bars': 16, 'be_after_R': 2.8, 'atr_filter': 1.5, 'target_R': 0.0, 'flat_eod': True, 'skip_holidays': True}"
248,354,12661,1.142,15878,0.8,61.9,0.054,1.3,23.5,0.15,0.25,658,6,1,"{'or_bars': 12, 'trade_mode': 'Long Only', 'stop_frac': 0.75, 'vpace_filter': 0.6, 'breakout_buf': 0.5, 'close_confirm': True, 'partial_exit_R': 0.5, 'trail_bars': 15, 'be_after_R': 1.5, 'atr_filter': 1.2, 'target_R': 6.0, 'flat_eod': True, 'skip_holidays': False}"
