fam,cell,n,net,pf,dd,mar,floor
A-PULLTRIG,ema20/k0.75,154,7613,1.094,22145,0.34,300
A-PULLTRIG,ema20/k1.0,154,12278,1.159,14350,0.86,300
A-PULLTRIG,rsi2/k0.75,81,2530,1.062,14742,0.17,300
A-PULLTRIG,rsi2/k1.0,81,1292,1.031,13704,0.09,300
B-PMBRK,k0.75,2831,42074,1.063,21025,2.0,300
B-PMBRK,k1.0,2831,51092,1.074,24473,2.09,300
C-EQ5ETH,scaled#226/5,3748,139051,1.108,49686,2.8,300
