rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
111,6,10056,4.928,1904,5.28,16.7,3.273,1.3,0.4,0.21,1.33,512,0,35,"{'er_len': 100, 'er_th': 0.45, 'limit_atr': 0.2, 'tl_len': 86, 'vol_mult': 0.2, 'stop_mult': 0.3, 'act_R': 1.5, 'trail_frac': 2.0, 'buf_atr': 0.1, 'min_brk': 2.0, 'ema_len': 260, 'atr_len': 156, 'regime_len': 15, 'breakeven_R': 3.0}"
112,43,15364,1.636,7820,1.96,34.9,0.414,1.2,2.9,0.19,0.69,863,5,18,"{'er_len': 50, 'er_th': 0.45, 'limit_atr': 0.65, 'tl_len': 126, 'vol_mult': 5.0, 'stop_mult': 1.4, 'act_R': 0.0, 'trail_frac': 2.0, 'buf_atr': 0.7, 'min_brk': 0.4, 'ema_len': 1500, 'atr_len': 108, 'regime_len': 40, 'breakeven_R': 3.0}"
113,2259,9269,1.014,53133,0.17,48.8,0.007,1.0,150.0,0.05,0.07,592,3,21,"{'er_len': 30, 'er_th': 0.05, 'limit_atr': 0.6, 'tl_len': 130, 'vol_mult': 3.6, 'stop_mult': 1.7, 'act_R': 2.0, 'trail_frac': 0.5, 'buf_atr': 0.35, 'min_brk': 2.1, 'ema_len': 300, 'atr_len': 104, 'regime_len': 55, 'breakeven_R': 2.0}"
114,6,7965,4.659,2145,3.71,33.3,2.439,1.0,0.4,0.22,0.96,544,0,18,"{'er_len': 100, 'er_th': 0.45, 'limit_atr': 0.75, 'tl_len': 222, 'vol_mult': 1.6, 'stop_mult': 1.5, 'act_R': 2.5, 'trail_frac': 1.0, 'buf_atr': 0.95, 'min_brk': 1.7, 'ema_len': 660, 'atr_len': 28, 'regime_len': 0, 'breakeven_R': 1.0}"
115,21,9700,1.932,6419,1.51,38.1,0.577,0.8,1.4,0.22,0.57,800,5,34,"{'er_len': 120, 'er_th': 0.35, 'limit_atr': 0.4, 'tl_len': 294, 'vol_mult': 1.8, 'stop_mult': 0.9, 'act_R': 0.0, 'trail_frac': 1.0, 'buf_atr': 0.4, 'min_brk': 2.6, 'ema_len': 1460, 'atr_len': 104, 'regime_len': 40, 'breakeven_R': 1.0}"
116,40,24227,1.559,20198,1.2,45.0,0.307,0.8,2.7,0.25,0.42,1971,4,47,"{'er_len': 80, 'er_th': 0.45, 'limit_atr': 0.05, 'tl_len': 262, 'vol_mult': 0.0, 'stop_mult': 1.7, 'act_R': 1.0, 'trail_frac': 2.0, 'buf_atr': 0.95, 'min_brk': 2.7, 'ema_len': 420, 'atr_len': 64, 'regime_len': 90, 'breakeven_R': 0.0}"
117,10,25601,5.988,4528,5.65,80.0,0.998,0.7,0.7,0.42,1.44,2566,6,19,"{'er_len': 120, 'er_th': 0.35, 'limit_atr': 0.6, 'tl_len': 90, 'vol_mult': 2.6, 'stop_mult': 1.8, 'act_R': 1.5, 'trail_frac': 1.0, 'buf_atr': 0.45, 'min_brk': 1.7, 'ema_len': 1260, 'atr_len': 84, 'regime_len': 15, 'breakeven_R': 2.0}"
118,6,5510,2.717,3194,1.73,33.3,1.144,0.5,0.4,0.21,0.65,802,0,16,"{'er_len': 120, 'er_th': 0.35, 'limit_atr': 0.25, 'tl_len': 226, 'vol_mult': 3.9, 'stop_mult': 1.5, 'act_R': 1.0, 'trail_frac': 3.0, 'buf_atr': 0.35, 'min_brk': 2.3, 'ema_len': 580, 'atr_len': 44, 'regime_len': 60, 'breakeven_R': 0.5}"
119,4,4933,5.217,1170,4.22,75.0,1.054,0.3,0.3,0.34,1.09,1170,0,32,"{'er_len': 70, 'er_th': 0.5, 'limit_atr': 0.8, 'tl_len': 102, 'vol_mult': 2.5, 'stop_mult': 0.9, 'act_R': 0.5, 'trail_frac': 0.5, 'buf_atr': 0.55, 'min_brk': 0.7, 'ema_len': 1420, 'atr_len': 68, 'regime_len': 50, 'breakeven_R': 1.5}"
120,13,13005,1.699,9976,1.3,46.2,0.376,0.3,0.9,0.17,0.44,2660,5,29,"{'er_len': 80, 'er_th': 0.4, 'limit_atr': 0.75, 'tl_len': 162, 'vol_mult': 4.2, 'stop_mult': 2.0, 'act_R': 2.5, 'trail_frac': 0.5, 'buf_atr': 0.8, 'min_brk': 1.2, 'ema_len': 380, 'atr_len': 92, 'regime_len': 100, 'breakeven_R': 3.0}"
121,61,5309,1.113,17652,0.3,26.2,0.083,0.3,4.0,0.06,0.11,1047,4,18,"{'er_len': 80, 'er_th': 0.35, 'limit_atr': 0.75, 'tl_len': 198, 'vol_mult': 3.2, 'stop_mult': 1.8, 'act_R': 2.5, 'trail_frac': 0.5, 'buf_atr': 0.15, 'min_brk': 0.6, 'ema_len': 1460, 'atr_len': 36, 'regime_len': 95, 'breakeven_R': 1.0}"
122,4,28931,4.516,8227,3.52,75.0,0.879,0.2,0.3,0.38,0.91,8227,0,21,"{'er_len': 90, 'er_th': 0.5, 'limit_atr': 0.45, 'tl_len': 214, 'vol_mult': 1.2, 'stop_mult': 2.0, 'act_R': 2.5, 'trail_frac': 3.0, 'buf_atr': 0.1, 'min_brk': 2.8, 'ema_len': 460, 'atr_len': 100, 'regime_len': 15, 'breakeven_R': 3.0}"
123,75,-2136,0.974,18978,-0.11,36.0,-0.017,-0.1,5.0,-0.02,-0.03,1685,3,50,"{'er_len': 80, 'er_th': 0.4, 'limit_atr': 0.5, 'tl_len': 226, 'vol_mult': 0.5, 'stop_mult': 1.9, 'act_R': 1.0, 'trail_frac': 2.5, 'buf_atr': 0.95, 'min_brk': 1.5, 'ema_len': 1020, 'atr_len': 80, 'regime_len': 65, 'breakeven_R': 2.5}"
