fam,cell,n,net,pf,dd,mar,floor
A-CAL,tom_last3,542,-27638,0.922,69207,-0.4,150
A-CAL,tom_first3,543,65722,1.194,45452,1.45,150
A-CAL,tom_window,1085,38084,1.055,61362,0.62,150
A-CAL,mon,769,131967,1.354,26793,4.93,150
A-CAL,tue,780,10525,1.022,61021,0.17,150
A-CAL,wed,777,32467,1.064,50462,0.64,150
A-CAL,thu,778,-60778,0.891,123975,-0.49,150
A-CAL,fri,764,-16414,0.967,67955,-0.24,150
A-CAL,opex_week,884,-42768,0.924,77462,-0.55,150
A-CAL,opex_friday,177,-77502,0.497,79439,-0.98,150
B1-ORBVIX,baseline,2607,389874,1.307,29142,13.38,300
B1-ORBVIX,keep_low,996,99148,1.279,25851,3.84,150
B1-ORBVIX,keep_mid,715,117078,1.388,15278,7.66,150
B1-ORBVIX,keep_high,835,173839,1.287,30814,5.64,150
B2-EQVIX,baseline,2655,311373,1.278,50630,6.15,300
B2-EQVIX,keep_low,866,46423,1.18,21025,2.21,150
B2-EQVIX,keep_mid,711,107051,1.47,30430,3.52,150
B2-EQVIX,keep_high,921,131122,1.218,49981,2.62,150
