rid,fam,strategy,instrument,lb_from,lb_to,years,mult,n_cands,n_curves,n_idle,n_unknown,n_weight,crown_net,crown_pf,crown_dd,crown_mar,pool_net,pool_pf,pool_dd,pool_mar,top3_net,top3_pf,top3_dd,top3_mar,rand_net,rand_pf,rand_dd,rand_mar,dd_thinning_gap,profit_corr,frozen_share,mean_param_dist,near_dupe_pairs,exact_dupe_pairs,distinct_configs,distinct_curves,identical_curve_pairs
274,ORB,ORB_3_4.py,NQ,2025-08-13,2026-08-13,0.9993,20.0,10,10,0,0,10,67446.0,1.5485,-29956.0,2.253,20070.2,1.1733,-21022.6,0.9554,18318.0,1.1298,-30979.3333,0.5917,20070.2,1.1884,-31403.2,0.9562,-0.0157,0.3968,0.0833,0.2894,0,0,10,10,0
277,TTMSQZ,TTMSQZ_2_0.py,ES,2025-06-30,2026-06-30,0.9993,50.0,10,10,0,0,10,-8210.0,0.8074,-18980.0,-0.4329,245.0,1.0251,-4680.0,0.0524,-5078.3333,0.7972,-12818.3333,-0.3964,245.0,1.8636,-5873.0,1.0306,0.0002,0.1002,0.0714,0.3573,0,0,10,10,0
283,ENGU-Q,ENGUQ_1M_ETH_COOLDOWN_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,6,6,0,0,6,105140.0,1.7055,-24980.0,4.2119,104484.6667,1.7088,-24981.0,4.1854,104673.3333,1.7024,-24980.0,4.1932,104484.6667,1.7043,-24981.0,4.1854,-0.2789,0.9422,0.9167,0.4667,0,0,6,5,1
289,TTMSQZ,TTMSQZ_3_0_ES30N.py,ES,2025-06-30,2026-06-30,0.9993,50.0,10,10,0,0,10,5075.0,2.2672,-3150.0,1.6122,4716.5,1.4686,-5995.5,0.7872,4991.6667,2.2215,-3233.3333,1.5449,4716.5,2.0511,-5995.5,1.4791,-0.0003,0.8204,0.0,0.225,0,0,10,10,0
290,TTMSQZ,TTMSQZ_3_0_R5NQ5.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,-51596.0,0.728,-60956.0,-0.847,12979.8,1.1262,-21258.0,0.611,-6810.6667,0.9527,-32676.6667,-0.2086,12979.8,1.1517,-26590.2,0.772,-0.0785,0.6843,0.0,0.2417,3,0,8,10,0
291,TTIBS,TTIBS_1_1.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,5,5,0,0,5,-47906.0,0.686,-65178.0,-0.7355,-57271.6,0.6318,-71763.6,-0.7986,-47193.3333,0.6875,-64465.3333,-0.7326,-57271.6,0.6456,-71763.6,-0.7877,0.0,0.8849,0.7143,0.0905,2,0,4,5,0
292,TTMSQZ,TTMSQZ_3_0_R5NQ5.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,11464.0,1.0904,-38288.0,0.2996,22201.6,1.2322,-18645.6,1.1915,19549.3333,1.1659,-27568.6667,0.7096,22201.6,1.2177,-22145.4,1.0744,-0.1132,0.6593,0.0,0.1759,2,0,8,10,0
293,TTMSQZ,TTMSQZ_3_0_NQ15BN.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,-60094.0,0.5693,-74404.0,-0.8082,-4019.6,0.936,-17786.6,-0.2261,-21430.6667,0.7496,-30616.6667,-0.7004,-4019.6,0.9968,-21813.0,0.0766,-0.04,0.8378,0.0,0.2333,0,0,10,10,0
295,ENGU-Q,ENGUQ_1M_ETH_1_0.py,ES,2025-08-24,2026-08-24,0.9993,50.0,10,10,0,0,10,39730.0,1.8773,-29790.0,1.3346,23143.0,1.4571,-26286.0,0.881,39218.3333,1.8039,-26835.0,1.4625,23143.0,1.495,-29048.0,0.9339,-0.0,0.4733,0.0,0.3081,0,0,10,10,0
296,TTMSQZ,TTMSQZ_3_0_NQ15BN.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,-2690.0,0.9573,-19086.0,-0.141,2442.8,1.0453,-14046.4,0.174,-516.0,0.9915,-16826.0,-0.0307,2442.8,1.0522,-16174.8,0.1826,0.0,0.8899,0.25,0.1833,0,0,10,10,0
299,TTMSQZ,TTMSQZ_3_0_ES30N.py,ES,2025-06-30,2026-06-30,0.9993,50.0,10,10,0,0,10,5075.0,2.2672,-3150.0,1.6122,6164.0,1.7841,-4683.5,1.317,4991.6667,2.2215,-3233.3333,1.5449,6164.0,2.0833,-4683.5,1.5407,-0.0003,0.8157,0.0,0.1375,0,0,10,10,0
300,TTIBS,TTIBS_1_3.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,5,5,0,0,5,25360.0,1.1905,-55434.0,0.4578,-29236.0,0.7957,-59402.0,-0.4925,-9780.0,0.9282,-56101.3333,-0.1744,-29236.0,0.8433,-65278.4,-0.3196,-0.0,0.862,0.5,0.2079,1,0,4,5,0
301,TTMSQZ,TTMSQZ_3_0_R5ES15.py,ES,2025-06-30,2026-06-30,0.9993,50.0,10,10,0,0,10,-23225.0,0.5811,-25975.0,-0.8947,-9752.5,0.7517,-14181.0,-0.6882,-14030.0,0.708,-20276.6667,-0.6924,-9752.5,0.7655,-16121.5,-0.5201,-0.0198,0.6689,0.0,0.2556,2,0,8,10,0
302,NOISE,NOISE_1_0.py,NQ,2025-02-11,2026-08-12,1.4976,20.0,10,10,0,0,10,19468.0,1.1796,-19244.0,0.6755,33658.0,1.3637,-14791.2,1.5195,49560.0,1.5126,-13885.3333,2.3833,33658.0,1.3232,-19220.8,1.1578,-0.0259,0.4527,0.0667,0.4317,0,0,10,10,0
303,ORB,ORB_3_6.py,NQ,2025-08-13,2026-08-13,0.9993,20.0,10,10,0,0,10,-9752.0,0.9378,-37914.0,-0.2574,34131.8,1.308,-16711.0,2.0439,41380.0,1.3376,-15463.3333,2.6778,34131.8,1.3231,-29386.0,1.8661,-0.1123,0.4729,0.0,0.3329,0,0,10,10,0
304,NOISE,NOISE_1_1_NBHD.py,NQ,2025-02-11,2026-08-12,1.4976,20.0,10,10,0,0,10,84558.0,1.7863,-19546.0,2.8887,55087.4,1.5211,-20193.6,1.8216,64240.6667,1.5782,-18230.0,2.353,55087.4,1.5167,-24001.2,1.5695,-0.2025,0.7171,0.6667,0.2433,5,0,5,10,0
305,NOISE,NOISE_1_0.py,NQ,2025-02-11,2026-08-12,1.4976,20.0,10,10,0,0,10,24554.0,1.2246,-24632.0,0.6656,15360.0,1.17,-14146.8,0.725,20826.0,1.1706,-19886.0,0.6993,15360.0,1.1762,-20120.0,0.5039,-0.0859,0.5387,0.0667,0.409,0,0,10,10,0
306,NOISE,NOISE_1_0.py,NQ,2025-02-11,2026-08-12,1.4976,20.0,10,10,0,0,10,9826.0,1.1081,-21114.0,0.3107,19566.6,1.2538,-8208.2,1.5917,24082.0,1.3045,-11041.3333,1.4564,19566.6,1.2477,-18323.0,1.0353,-0.0354,0.2111,0.0,0.3628,0,0,10,10,0
307,NQDIP,NQDIP_1_0.py,NQ,2025-08-24,2026-08-24,0.9993,1.0,10,6,0,4,6,5920.0,1.2459,-11998.7,0.4937,9812.0,1.7845,-5726.5333,1.7146,9864.4667,1.6348,-6572.4333,1.5019,9812.0,2.0907,-7725.3333,1.7429,0.0,0.1906,0.4118,0.3384,0,0,6,6,0
309,ENGU-Q,ENGUQ_1M_ETH_ER_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,82448.0,1.6153,-46956.0,1.7571,88832.4,1.7021,-48777.0,1.8224,80693.3333,1.6135,-43437.3333,1.859,88832.4,1.7577,-57188.2,1.738,-0.0398,0.5463,0.0,0.2306,0,0,10,10,0
