famKey,param,label,n_runs,kind,declared_lo,declared_hi,step,n_declared_variants,widest_lo,widest_hi,steps,modal_value,pin_at,median_value,iqr_frac,median_pos,edge_rate,lo_edge_share,hi_edge_share,n_power,med_pps,med_mi,med_absr,drift_rho,n_sanity,share_finalists_all_same,share_best_worst_differ,med_finalist_distinct,recommendation,reason,widen_lo,widen_hi,freeze_is_artifact
NQDIP,pb_ema,Pullback EMA (days),3,range,5.0,50.0,5.0,1,5.0,50.0,10,5.0,5.0,10.0,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,3,0.0,0.025,0.077,1.0,2,0.0,1.0,6.5,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,pb_hold,Pullback max hold (days),3,range,3.0,20.0,1.0,1,3.0,20.0,18,4.0,4.0,14.0,0.44117647058823534,0.6470588235294118,0.0,0.0,0.0,3,0.0,0.008,0.234,-0.5,2,0.0,1.0,7.5,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,rsi_exit,RSI exit SMA (days),3,range,3.0,10.0,1.0,1,3.0,10.0,8,4.0,4.0,7.0,0.3571428571428571,0.5714285714285714,0.0,0.0,0.0,3,0.0,0.0,0.065,-1.0,2,0.0,1.0,5.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,rsi_len,RSI length (days),3,range,2.0,5.0,1.0,1,2.0,5.0,4,3.0,3.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,3,0.0,0.005,0.072,-0.8660254037844387,2,0.0,0.0,4.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,rsi_thr,RSI buy below,3,range,5.0,30.0,5.0,1,5.0,30.0,6,30.0,30.0,30.0,0.30000000000000004,1.0,0.6666666666666666,0.0,0.6666666666666666,3,0.0,0.028,0.008,0.0,2,0.0,0.0,4.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,streak_hold,Streak max hold (days),1,range,2.0,8.0,1.0,1,2.0,8.0,7,5.0,5.0,5.0,,0.5,0.0,0.0,0.0,1,0.0,0.0,0.044,,1,0.0,,6.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
NQDIP,streak_n,Down-close streak length,1,range,2.0,5.0,1.0,1,2.0,5.0,4,3.0,3.0,3.0,,0.3333333333333333,0.0,0.0,0.0,1,0.0,0.0,0.079,,1,0.0,,4.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
NQDIP,trend_len,Trend filter SMA (days),3,range,100.0,300.0,50.0,1,100.0,300.0,5,100.0,100.0,250.0,0.5,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,0.0,0.036,0.186,0.5,2,0.0,0.0,3.5,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,use_cap,Run the capitulation leg,3,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,,,,,2,1.0,0.0,1.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,use_dbl,Run the N-day-low leg,3,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,,,,,2,1.0,0.0,1.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,use_gapdn,Run the gap-down leg,1,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,0,,,,,1,0.0,,2.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
NQDIP,use_ibs,Run the IBS leg,1,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,0,,,,,1,1.0,,1.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
NQDIP,use_pb,Run the pullback leg,3,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,,,,,2,1.0,0.0,1.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,use_rsi,Run the RSI leg,3,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,,,,,2,1.0,0.0,1.0,UNCLEAR,only 3 crowned runs; needs 2 more,,,False
NQDIP,use_streak,Run the losing-streak leg,1,switch,0.0,1.0,,1,0.0,1.0,2,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,0,,,,,1,0.0,,2.0,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
ORB,breakout_buf,Breakout buffer (× range),10,range,0.0,0.5,0.05,2,0.0,0.5,11,0.0,0.0,0.0,0.4,0.0,0.6,0.6,0.0,11,0.0,0.02,0.118,0.1456438162508838,29,0.7241379310344828,0.2,1.0,FREEZE,"60% of crowns sit on the 0 = off floor; the search keeps switching this knob OFF rather than tuning it -- BUT the finalists never varied it in 72% of runs, so the zero-power reading is partly an artifact",,,True
