TTM SQUEEZE ROUND 2 (mechanism variants) - window 2010-06-07..2026-06-30, LB from 2025-07-01

== NQ 15m  bars=105,665  sessions=4,126
variant                            trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
control: Carter kc2.0                2994  41.2   0.96     -25,262    41,581  -0.61 |      -7,654   0.98 |     -17,609   0.76  7/10
fade the fire (inverse)              2518  41.9   0.90     -30,557    39,944  -0.76 |     -28,906   0.89 |      -1,651   0.95  5/12
fade the fire, tight kc2.0           2962  43.0   0.87     -44,520    62,904  -0.71 |     -58,977   0.81 |      14,457   1.42  4/13
slope direction                      2527  41.3   1.01       3,755    36,099   0.10 |      11,089   1.03 |      -7,334   0.88  6/11
confirm 2 bars strengthening         1593  41.0   1.05      13,626    31,474   0.43 |      -3,038   0.99 |      16,664   1.65  8/9 
range-break stop entry               1979  40.7   1.00         949    27,932   0.03 |       1,914   1.01 |        -965   0.98  7/10
range-break + ride exit              1860  45.6   1.12      57,780    22,749   2.54 |      56,606   1.14 |       1,173   1.02 10/7 
range-break + 1x range target        1911  52.5   1.05      22,390    22,117   1.01 |      24,965   1.07 |      -2,575   0.95 10/7 
range-break + 2x range target        1879  47.0   1.10      47,152    21,276   2.22 |      48,024   1.12 |        -871   0.98 10/7 
trend gate (200 EMA side)            1577  43.9   0.97      -8,158    31,235  -0.26 |      -1,021   1.00 |      -7,136   0.80  9/8 
trend gate + kc2.0                   2056  42.4   1.01       3,681    36,507   0.10 |      18,863   1.06 |     -15,182   0.73  7/10
morning fires only                   1418  41.5   0.96     -11,323    27,917  -0.41 |     -16,758   0.93 |       5,435   1.16  6/11
daily-squeeze MTF gate                258  42.6   0.86      -5,279     8,933  -0.59 |      -7,176   0.75 |       1,897   1.19  5/12
ride exit (stop/EOD only)            2332  45.3   1.07      45,232    30,804   1.47 |      37,691   1.07 |       7,541   1.11  8/9 
long squeeze only (min 12)            482  42.3   0.94      -4,837    11,641  -0.42 |      -3,894   0.95 |        -943   0.89  7/10
long squeeze 12 + ride                480  47.7   1.13      15,345    18,520   0.83 |      18,753   1.19 |      -3,407   0.76 12/5 

== ES 30m  bars=52,861  sessions=4,126
variant                            trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
control: Carter kc2.0                1344  47.2   1.10      27,090    25,729   1.05 |      28,929   1.12 |      -1,838   0.94 11/6 
fade the fire (inverse)              1027  42.6   0.86     -20,438    20,954  -0.98 |     -16,995   0.87 |      -3,443   0.79  5/12
fade the fire, tight kc2.0           1343  40.7   0.93     -11,980    35,505  -0.34 |      -8,518   0.95 |      -3,462   0.84  5/12
slope direction                      1030  46.8   1.16      35,909    19,379   1.85 |      36,291   1.19 |        -382   0.99 10/7 
confirm 2 bars strengthening          630  42.7   0.93      -9,814    17,659  -0.56 |     -10,862   0.91 |       1,048   1.07  5/12
range-break stop entry                757  47.2   1.14      22,194    15,060   1.47 |      22,748   1.16 |        -554   0.97  8/9 
range-break + ride exit               753  51.0   1.12      23,831    15,355   1.55 |      26,410   1.15 |      -2,580   0.89 10/7 
range-break + 1x range target         753  55.0   1.07      12,558    11,617   1.08 |      11,325   1.07 |       1,233   1.06  9/8 
range-break + 2x range target         753  51.7   1.08      15,331    10,796   1.42 |      12,485   1.07 |       2,845   1.14  8/9 
trend gate (200 EMA side)             624  47.1   1.20      23,571    13,252   1.78 |      27,320   1.27 |      -3,749   0.81 12/5 
trend gate + kc2.0                    913  48.3   1.23      40,110    17,726   2.26 |      45,457   1.31 |      -5,347   0.80 11/6 
morning fires only                    599  46.2   1.16      20,556    13,135   1.56 |      18,615   1.16 |       1,940   1.11  7/10
daily-squeeze MTF gate                 85  43.5   0.61      -8,018     9,999  -0.80 |      -5,698   0.61 |      -2,320   0.60  8/8 
ride exit (stop/EOD only)            1011  49.0   1.02       5,328    18,262   0.29 |       1,770   1.01 |       3,558   1.12 10/7 
long squeeze only (min 12)            177  48.6   1.87      21,855     3,121   7.00 |      14,300   1.58 |       7,555  18.32 14/3 
long squeeze 12 + ride                177  54.8   1.72      23,410     2,974   7.87 |      16,551   1.53 |       6,859   7.06 13/4 

== ES 60m  bars=28,468  sessions=4,126
variant                            trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
control: Carter kc2.0                 463  50.8   1.07       8,407    19,505   0.43 |      13,924   1.12 |      -5,517   0.61 13/4 
fade the fire (inverse)               336  47.3   1.07       3,687     8,034   0.46 |         628   1.01 |       3,058   1.53  6/11
fade the fire, tight kc2.0            463  41.7   0.84     -13,041    24,794  -0.53 |     -12,434   0.84 |        -607   0.91  5/12
slope direction                       337  51.9   1.24      21,253     8,042   2.64 |      22,170   1.28 |        -917   0.91 11/6 
confirm 2 bars strengthening          237  51.1   1.06       3,673    11,727   0.31 |       5,634   1.11 |      -1,961   0.75 12/5 
range-break stop entry                263  53.6   1.21      15,912     9,836   1.62 |      18,663   1.29 |      -2,751   0.72 12/5 
range-break + ride exit               263  55.5   1.15      11,767    10,240   1.15 |      14,921   1.21 |      -3,155   0.70 11/6 
range-break + 1x range target         263  56.3   1.01         638    11,317   0.06 |       3,793   1.06 |      -3,155   0.70 10/7 
range-break + 2x range target         263  55.5   1.15      12,154     9,290   1.31 |      15,309   1.22 |      -3,155   0.70 10/7 
trend gate (200 EMA side)             205  56.1   1.32      15,745     6,093   2.58 |      17,302   1.42 |      -1,557   0.83 13/4 
trend gate + kc2.0                    321  52.6   1.10       8,389    13,585   0.62 |      10,372   1.14 |      -1,983   0.78 13/4 
morning fires only                    337  50.4   1.17      14,615     8,808   1.66 |      18,581   1.25 |      -3,967   0.66 11/6 
daily-squeeze MTF gate                 44  52.3   0.67      -5,392     9,431  -0.57 |       2,676   1.39 |      -8,068   0.14  9/7 
ride exit (stop/EOD only)             336  51.5   0.98      -1,946    14,155  -0.14 |       4,263   1.05 |      -6,209   0.56  9/8 
long squeeze only (min 12)             53  43.4   1.02         286     5,533   0.05 |        -298   0.97 |         583   2.99  5/11
long squeeze 12 + ride                 53  45.3   0.83      -2,489     6,395  -0.39 |      -3,173   0.78 |         683   4.54  4/12
