
== NQ 1m  bars=1,585,002  sessions=4,126  (2s load)
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published (fade 1, stop 2 ATR)        313  46.6   1.16      20,575    26,646   0.77 |       4,827   1.05 |      15,748   1.75  9/8 
zero-cross exit                       313  50.5   1.18      23,666    23,643   1.00 |       3,953   1.03 |      19,713   2.11  8/9 
flip exit (opposite fire)             313  49.8   1.12      16,199    21,188   0.76 |      -2,974   0.98 |      19,173   2.06  7/10
fade 2 bars                           313  47.9   1.17      22,172    25,230   0.88 |       2,794   1.03 |      19,378   2.08  8/9 
min 6-bar squeeze                     120  45.0   1.30      12,894    12,829   1.01 |      -5,350   0.86 |      18,244   4.30  8/9 
tight squeeze kc 2.0                  459  51.9   1.18      32,978    26,828   1.23 |      29,671   1.20 |       3,307   1.10 12/5 
wide stop 3 ATR                       313  47.0   1.22      26,186    23,709   1.10 |      11,421   1.12 |      14,765   1.67 10/7 
long only                             162  47.5   0.96      -2,336    14,319  -0.16 |       5,026   1.12 |      -7,362   0.39  8/9 
short only                            151  45.7   1.32      22,911    16,100   1.42 |        -199   1.00 |      23,111   3.58 12/5 

== ES 5m  bars=317,047  sessions=4,126  (0s load)
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published (fade 1, stop 2 ATR)       9436  34.3   0.93     -64,916   148,548  -0.44 |     -67,886   0.91 |       2,970   1.03  6/11
zero-cross exit                      7974  35.4   0.93     -87,252   129,864  -0.67 |     -78,154   0.93 |      -9,098   0.93  6/11
flip exit (opposite fire)            6289  35.2   0.94     -72,494   100,772  -0.72 |     -65,334   0.94 |      -7,160   0.95  4/13
fade 2 bars                          9189  37.0   0.92     -84,797   146,766  -0.58 |     -84,640   0.91 |        -157   1.00  5/12
min 6-bar squeeze                    4817  34.2   0.98      -9,747    69,041  -0.14 |     -18,453   0.95 |       8,706   1.16  4/13
tight squeeze kc 2.0                 9798  35.5   0.94     -65,537   143,860  -0.46 |     -43,974   0.95 |     -21,564   0.83  5/12
wide stop 3 ATR                      9430  34.6   0.92     -66,736   148,069  -0.45 |     -68,706   0.91 |       1,969   1.02  6/11
long only                            5108  36.1   0.97     -11,881    66,833  -0.18 |     -16,851   0.96 |       4,969   1.12  5/12
short only                           4329  32.2   0.88     -53,140    87,308  -0.61 |     -51,141   0.87 |      -1,999   0.96  5/12

== ES 15m  bars=105,668  sessions=4,126  (0s load)
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published (fade 1, stop 2 ATR)       2553  41.9   0.99      -3,181    31,298  -0.10 |      -4,463   0.99 |       1,282   1.03  6/11
zero-cross exit                      2391  44.3   1.09      50,811    26,685   1.90 |      45,871   1.09 |       4,940   1.08  9/8 
flip exit (opposite fire)            2335  45.1   1.08      46,741    31,698   1.47 |      38,494   1.07 |       8,247   1.12  8/9 
fade 2 bars                          2527  42.5   0.99      -4,013    37,707  -0.11 |      -1,639   1.00 |      -2,374   0.96  7/10
min 6-bar squeeze                    1148  40.7   0.85     -30,255    32,874  -0.92 |     -31,607   0.83 |       1,352   1.06  4/13
tight squeeze kc 2.0                 2994  41.2   0.96     -25,262    41,581  -0.61 |      -7,654   0.98 |     -17,609   0.76  7/10
wide stop 3 ATR                      2553  42.5   1.03      10,956    30,043   0.36 |       2,988   1.01 |       7,968   1.17  8/9 
long only                            1421  45.1   1.19      37,860    14,304   2.65 |      31,239   1.17 |       6,621   1.37 10/7 
short only                           1133  37.9   0.81     -41,461    42,271  -0.98 |     -36,123   0.81 |      -5,339   0.83  4/13

== ES 30m  bars=52,861  sessions=4,126  (1s load)
config                             trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
published (fade 1, stop 2 ATR)       1037  44.7   1.10      19,733    19,466   1.01 |      19,651   1.11 |          82   1.00  9/8 
zero-cross exit                      1019  48.6   1.03       6,819    17,601   0.39 |       5,699   1.02 |       1,120   1.04 10/7 
flip exit (opposite fire)            1011  48.9   1.01       3,940    20,199   0.20 |          95   1.00 |       3,845   1.13  9/8 
fade 2 bars                          1027  47.5   1.17      37,267    14,311   2.60 |      38,051   1.19 |        -784   0.97 11/6 
min 6-bar squeeze                     458  43.9   1.11      10,041    17,151   0.59 |       4,145   1.05 |       5,896   1.57 10/7 
tight squeeze kc 2.0                 1344  47.2   1.10      27,090    25,729   1.05 |      28,929   1.12 |      -1,838   0.94 11/6 
wide stop 3 ATR                      1036  44.8   1.09      18,411    18,636   0.99 |      17,499   1.10 |         912   1.04  9/8 
long only                             579  49.9   1.17      16,831    16,916   1.00 |      17,028   1.19 |        -196   0.98 10/7 
short only                            458  38.2   1.03       2,902    10,372   0.28 |       2,624   1.03 |         279   1.02  9/8 

== ES 60m  bars=28,468  sessions=4,126  (1s load)
