TTM SQUEEZE ROUND 4 (higher-TF verification of shorter-TF entries) - window 2010-06-07..2026-06-30, LB from 2025-07-01

== NQ base 5m  bars=317,044
entry      HTF gate         trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
carter     60m rising         2599  35.9   1.00        -402    34,761  -0.01 |       3,114   1.02 |      -3,516   0.86  5/12
carter     120m sign          4887  34.7   0.90     -44,695    73,913  -0.60 |     -46,664   0.88 |       1,969   1.04  4/13
carter     daily sign         4874  34.8   0.93     -31,218    65,193  -0.48 |     -47,089   0.88 |      15,871   1.35  4/13
carter     60m squeeze on     1207  36.5   1.21      20,783     8,391   2.48 |      20,248   1.23 |         535   1.05  8/9 
carter     60m fired<=3        443  33.6   0.86      -5,050     8,592  -0.59 |      -4,133   0.87 |        -918   0.81  6/11
carter     60m+120m stack     3624  34.8   0.87     -41,717    53,867  -0.77 |     -42,218   0.85 |         501   1.01  5/12
break      none               5196  34.7   0.98     -17,412    64,078  -0.27 |     -18,577   0.98 |       1,165   1.01  6/11
break      60m sign           3055  35.0   0.96     -27,505    67,629  -0.41 |     -35,051   0.94 |       7,546   1.11  6/11
break      60m rising         1706  35.1   0.94     -21,684    61,595  -0.35 |     -24,015   0.93 |       2,331   1.06  5/12
break      120m sign          3036  36.5   0.97     -19,145    54,497  -0.35 |     -38,637   0.93 |      19,492   1.33  6/11
break      daily sign         3081  37.0   0.96     -23,476    41,118  -0.57 |     -37,703   0.94 |      14,227   1.22  6/11
break      60m squeeze on      765  37.6   1.35      47,859     9,408   5.09 |      46,445   1.38 |       1,414   1.10  9/8 
break      60m fired<=3        310  38.4   0.91      -5,973    16,096  -0.37 |      -8,090   0.86 |       2,117   1.49  8/9 
break      60m+120m stack     2289  35.7   0.92     -38,335    68,776  -0.56 |     -57,883   0.87 |      19,548   1.45  5/12

== ES base 15m  bars=105,668
entry      HTF gate         trades   WR%     PF       net $   maxDD $    MAR |        IS $  IS PF |        LB $  LB PF  yrs+
carter     none               2553  41.8   0.98      -6,431    33,134  -0.19 |      -8,558   0.98 |       2,127   1.04  7/10
carter     60m sign           1243  41.3   0.90     -20,868    26,547  -0.79 |     -13,580   0.92 |      -7,288   0.74  7/10
carter     60m rising          713  40.8   0.90     -11,357    17,443  -0.65 |      -9,164   0.91 |      -2,193   0.83  7/10
carter     120m sign          1259  42.8   0.93     -13,682    26,773  -0.51 |      -9,618   0.95 |      -4,064   0.85  7/10
