time,open,high,low,close,volume
2026-09-22 08:45:00-04:00,30764.75,30768.75,30764.0,30766.25,112
2026-09-22 08:46:00-04:00,30766.0,30769.0,30762.0,30762.5,77
2026-09-22 08:47:00-04:00,30763.25,30766.0,30761.75,30762.75,91
2026-09-22 08:48:00-04:00,30762.0,30769.5,30762.0,30766.0,58
2026-09-22 08:49:00-04:00,30766.75,30767.5,30761.25,30763.0,111
2026-09-22 08:50:00-04:00,30763.0,30765.0,30759.5,30760.25,93
2026-09-22 08:51:00-04:00,30759.25,30761.5,30757.25,30758.75,135
2026-09-22 08:52:00-04:00,30758.5,30759.75,30753.25,30759.0,212
2026-09-22 08:53:00-04:00,30759.25,30762.25,30756.5,30757.5,79
2026-09-22 08:54:00-04:00,30758.0,30758.75,30756.25,30758.0,58
2026-09-22 08:55:00-04:00,30757.5,30758.0,30752.75,30755.25,160
2026-09-22 08:56:00-04:00,30754.75,30755.0,30750.75,30751.75,205
2026-09-22 08:57:00-04:00,30752.5,30761.5,30752.25,30755.0,217
2026-09-22 08:58:00-04:00,30755.0,30758.5,30752.0,30753.0,134
2026-09-22 08:59:00-04:00,30752.5,30753.75,30745.5,30752.25,353
2026-09-22 09:00:00-04:00,30753.0,30759.75,30748.75,30758.5,338
2026-09-22 09:01:00-04:00,30758.75,30767.75,30752.75,30767.0,290
2026-09-22 09:02:00-04:00,30767.0,30770.5,30765.75,30769.75,203
2026-09-22 09:03:00-04:00,30768.25,30771.75,30766.75,30770.25,210
2026-09-22 09:04:00-04:00,30770.0,30772.0,30766.75,30767.5,152
2026-09-22 09:05:00-04:00,30768.0,30769.5,30761.5,30765.25,198
2026-09-22 09:06:00-04:00,30765.75,30777.25,30757.25,30769.75,803
2026-09-22 09:07:00-04:00,30769.0,30771.25,30764.0,30765.75,189
2026-09-22 09:08:00-04:00,30766.5,30780.75,30766.25,30773.0,290
2026-09-22 09:09:00-04:00,30772.5,30774.0,30766.25,30766.25,224
2026-09-22 09:10:00-04:00,30766.25,30770.25,30760.5,30770.25,170
2026-09-22 09:11:00-04:00,30769.0,30771.25,30764.5,30765.0,95
2026-09-22 09:12:00-04:00,30765.5,30768.5,30762.5,30765.25,111
2026-09-22 09:13:00-04:00,30765.0,30768.0,30760.5,30766.5,192
2026-09-22 09:14:00-04:00,30767.0,30773.0,30766.75,30769.75,183
2026-09-22 09:15:00-04:00,30769.5,30771.0,30761.75,30765.75,260
2026-09-22 09:16:00-04:00,30765.75,30774.5,30765.0,30765.0,176
2026-09-22 09:17:00-04:00,30767.5,30767.5,30758.25,30759.25,195
2026-09-22 09:18:00-04:00,30759.75,30763.75,30757.0,30759.0,146
2026-09-22 09:19:00-04:00,30758.0,30759.5,30755.25,30759.5,164
2026-09-22 09:20:00-04:00,30759.5,30759.5,30750.5,30753.75,210
2026-09-22 09:21:00-04:00,30752.75,30765.25,30752.75,30763.5,390
2026-09-22 09:22:00-04:00,30763.75,30766.25,30759.0,30765.0,259
2026-09-22 09:23:00-04:00,30764.0,30767.0,30760.0,30763.5,198
2026-09-22 09:24:00-04:00,30764.25,30771.0,30764.25,30769.0,284
2026-09-22 09:25:00-04:00,30768.75,30777.75,30762.25,30777.0,641
2026-09-22 09:26:00-04:00,30776.75,30777.0,30768.5,30773.0,313
2026-09-22 09:27:00-04:00,30773.5,30777.75,30769.5,30777.75,537
2026-09-22 09:28:00-04:00,30775.75,30775.75,30756.5,30764.75,612
2026-09-22 09:29:00-04:00,30765.25,30769.0,30759.75,30764.0,563
2026-09-22 09:30:00-04:00,30764.25,30816.0,30763.5,30813.5,5307
2026-09-22 09:31:00-04:00,30813.5,30847.0,30809.75,30842.0,3205
2026-09-22 09:32:00-04:00,30842.5,30864.5,30836.75,30859.5,2883
2026-09-22 09:33:00-04:00,30858.75,30868.5,30848.25,30853.0,3216
2026-09-22 09:34:00-04:00,30853.5,30865.75,30842.5,30864.75,1998
2026-09-22 09:35:00-04:00,30865.5,30886.5,30864.25,30882.0,3021
2026-09-22 09:36:00-04:00,30882.25,30894.25,30876.0,30892.0,1930
2026-09-22 09:37:00-04:00,30891.5,30894.0,30881.25,30885.25,1629
