time,open,high,low,close,volume
2026-06-09 09:37:00-04:00,7466.5,7470.0,7465.75,7469.75,6378
2026-06-09 09:38:00-04:00,7469.75,7470.75,7466.25,7466.75,4543
2026-06-09 09:39:00-04:00,7466.5,7467.0,7465.0,7466.0,4236
2026-06-09 09:40:00-04:00,7466.0,7467.75,7463.25,7465.25,4980
2026-06-09 09:41:00-04:00,7465.25,7468.0,7464.5,7467.75,3745
2026-06-09 09:42:00-04:00,7467.75,7472.5,7466.5,7472.0,5620
2026-06-09 09:43:00-04:00,7472.0,7475.25,7471.75,7474.75,5641
2026-06-09 09:44:00-04:00,7474.75,7475.25,7472.75,7475.25,4710
2026-06-09 09:45:00-04:00,7475.25,7478.5,7474.25,7478.5,6916
2026-06-09 09:46:00-04:00,7478.5,7481.75,7477.5,7481.5,6407
2026-06-09 09:47:00-04:00,7481.5,7486.75,7481.0,7486.0,6940
2026-06-09 09:48:00-04:00,7486.0,7489.25,7484.5,7488.25,7020
2026-06-09 09:49:00-04:00,7488.5,7491.0,7487.5,7489.25,7723
2026-06-09 09:50:00-04:00,7489.5,7490.0,7483.0,7483.25,9388
2026-06-09 09:51:00-04:00,7483.25,7484.75,7479.5,7482.25,7759
2026-06-09 09:52:00-04:00,7482.0,7486.25,7481.75,7484.0,5307
2026-06-09 09:53:00-04:00,7484.0,7484.5,7479.25,7480.5,4908
2026-06-09 09:54:00-04:00,7480.25,7481.0,7473.0,7473.5,6859
2026-06-09 09:55:00-04:00,7473.5,7476.75,7469.5,7471.75,7417
2026-06-09 09:56:00-04:00,7472.0,7474.75,7469.0,7470.75,5568
2026-06-09 09:57:00-04:00,7470.75,7471.0,7466.25,7468.0,5466
2026-06-09 09:58:00-04:00,7468.0,7471.75,7467.5,7470.5,4691
2026-06-09 09:59:00-04:00,7470.5,7470.75,7464.0,7465.5,4770
2026-06-09 10:00:00-04:00,7465.25,7465.5,7459.5,7463.5,8566
2026-06-09 10:01:00-04:00,7463.5,7470.5,7463.25,7469.5,6832
2026-06-09 10:02:00-04:00,7469.75,7472.25,7467.0,7468.0,5162
2026-06-09 10:03:00-04:00,7468.0,7469.5,7465.5,7465.5,4790
2026-06-09 10:04:00-04:00,7465.5,7465.5,7460.25,7463.0,5958
2026-06-09 10:05:00-04:00,7462.75,7467.25,7461.75,7466.5,4693
2026-06-09 10:06:00-04:00,7466.5,7467.0,7463.25,7463.75,4256
2026-06-09 10:07:00-04:00,7463.75,7465.5,7461.25,7462.75,4217
2026-06-09 10:08:00-04:00,7462.75,7469.25,7462.5,7467.5,6606
2026-06-09 10:09:00-04:00,7467.5,7467.75,7460.5,7461.25,4845
2026-06-09 10:10:00-04:00,7461.25,7461.75,7452.0,7453.0,9587
2026-06-09 10:11:00-04:00,7452.75,7454.75,7448.0,7450.75,7967
2026-06-09 10:12:00-04:00,7450.75,7453.0,7447.75,7448.5,6255
2026-06-09 10:13:00-04:00,7448.5,7449.0,7439.5,7440.0,8310
2026-06-09 10:14:00-04:00,7440.0,7441.75,7436.0,7437.25,8307
2026-06-09 10:15:00-04:00,7437.0,7441.0,7433.25,7433.5,9640
2026-06-09 10:16:00-04:00,7433.5,7435.25,7429.0,7430.0,8613
2026-06-09 10:17:00-04:00,7430.0,7430.25,7420.25,7421.0,10629
2026-06-09 10:18:00-04:00,7421.0,7423.5,7415.5,7416.75,11345
2026-06-09 10:19:00-04:00,7416.5,7423.75,7416.0,7422.5,9905
2026-06-09 10:20:00-04:00,7422.75,7423.0,7415.25,7419.0,10304
2026-06-09 10:21:00-04:00,7419.0,7422.25,7416.75,7421.5,7206
2026-06-09 10:22:00-04:00,7421.75,7435.5,7421.0,7434.25,11081
2026-06-09 10:23:00-04:00,7434.5,7436.5,7431.0,7436.25,7678
2026-06-09 10:24:00-04:00,7436.0,7441.75,7434.75,7441.0,7102
2026-06-09 10:25:00-04:00,7440.75,7443.25,7436.5,7441.25,7079
2026-06-09 10:26:00-04:00,7441.25,7443.25,7435.5,7436.5,6193
2026-06-09 10:27:00-04:00,7436.25,7440.0,7433.25,7438.25,5470
2026-06-09 10:28:00-04:00,7438.0,7441.0,7433.0,7433.75,4161
