time,open,high,low,close,volume
2026-09-22 09:26:00-04:00,30776.75,30777.0,30774.75,30776.25,51
2026-09-22 09:26:10-04:00,30775.75,30776.5,30773.5,30775.25,42
2026-09-22 09:26:20-04:00,30774.75,30774.75,30768.5,30772.25,104
2026-09-22 09:26:30-04:00,30772.5,30774.75,30772.5,30774.75,36
2026-09-22 09:26:40-04:00,30775.0,30775.0,30772.0,30772.5,41
2026-09-22 09:26:50-04:00,30774.0,30775.5,30772.5,30773.0,39
2026-09-22 09:27:00-04:00,30773.5,30774.0,30771.5,30773.25,37
2026-09-22 09:27:10-04:00,30772.75,30776.25,30772.5,30773.5,47
2026-09-22 09:27:20-04:00,30774.0,30776.75,30773.75,30773.75,71
2026-09-22 09:27:30-04:00,30774.25,30775.25,30769.5,30771.75,112
2026-09-22 09:27:40-04:00,30772.25,30775.5,30771.25,30773.75,102
2026-09-22 09:27:50-04:00,30773.25,30777.75,30772.0,30777.75,168
2026-09-22 09:28:00-04:00,30775.75,30775.75,30758.75,30765.25,279
2026-09-22 09:28:10-04:00,30765.5,30765.5,30761.25,30762.25,78
2026-09-22 09:28:20-04:00,30762.5,30762.75,30757.75,30757.75,50
2026-09-22 09:28:30-04:00,30757.75,30759.0,30756.5,30757.75,43
2026-09-22 09:28:40-04:00,30758.0,30761.75,30757.5,30761.75,63
2026-09-22 09:28:50-04:00,30760.5,30765.75,30760.5,30764.75,99
2026-09-22 09:29:00-04:00,30765.25,30765.25,30760.75,30761.5,64
2026-09-22 09:29:10-04:00,30762.0,30763.75,30759.75,30763.0,118
2026-09-22 09:29:20-04:00,30763.25,30765.75,30760.5,30765.75,70
2026-09-22 09:29:30-04:00,30766.25,30769.0,30764.0,30764.0,78
2026-09-22 09:29:40-04:00,30764.25,30764.25,30760.25,30762.25,84
2026-09-22 09:29:50-04:00,30763.25,30766.5,30762.25,30764.0,149
2026-09-22 09:30:00-04:00,30764.25,30786.25,30763.5,30786.25,1883
2026-09-22 09:30:10-04:00,30786.0,30800.0,30783.5,30796.0,795
2026-09-22 09:30:20-04:00,30796.5,30814.75,30796.5,30803.5,1064
2026-09-22 09:30:30-04:00,30803.0,30813.25,30801.5,30806.25,650
2026-09-22 09:30:40-04:00,30806.75,30814.0,30805.5,30807.75,434
2026-09-22 09:30:50-04:00,30807.0,30816.0,30807.0,30813.5,481
2026-09-22 09:31:00-04:00,30813.5,30825.0,30809.75,30822.0,626
2026-09-22 09:31:10-04:00,30823.5,30829.75,30820.0,30829.0,500
2026-09-22 09:31:20-04:00,30828.5,30836.25,30824.25,30836.0,502
2026-09-22 09:31:30-04:00,30835.0,30847.0,30834.5,30843.25,723
2026-09-22 09:31:40-04:00,30843.0,30844.0,30836.0,30839.5,437
2026-09-22 09:31:50-04:00,30839.5,30844.0,30838.0,30842.5,418
2026-09-22 09:32:00-04:00,30843.0,30846.0,30837.75,30840.25,514
2026-09-22 09:32:10-04:00,30840.5,30844.0,30836.75,30841.0,359
2026-09-22 09:32:20-04:00,30840.75,30861.0,30838.75,30860.0,691
2026-09-22 09:32:30-04:00,30860.0,30864.5,30858.25,30861.25,627
2026-09-22 09:32:40-04:00,30861.75,30862.75,30857.0,30859.75,368
2026-09-22 09:32:50-04:00,30859.0,30864.0,30857.0,30859.5,322
2026-09-22 09:33:00-04:00,30858.75,30861.25,30853.5,30857.75,337
2026-09-22 09:33:10-04:00,30857.75,30861.75,30854.5,30861.75,225
2026-09-22 09:33:20-04:00,30862.25,30868.5,30858.5,30860.5,447
2026-09-22 09:33:30-04:00,30860.25,30861.75,30848.25,30860.25,838
2026-09-22 09:33:40-04:00,30861.0,30861.75,30849.75,30851.5,776
2026-09-22 09:33:50-04:00,30852.0,30856.75,30848.5,30853.5,594
2026-09-22 09:34:00-04:00,30854.0,30855.75,30843.25,30844.5,502
2026-09-22 09:34:10-04:00,30844.25,30849.0,30842.5,30847.25,403
2026-09-22 09:34:20-04:00,30847.25,30850.25,30844.75,30848.25,238
2026-09-22 09:34:30-04:00,30847.25,30852.5,30846.5,30848.75,217
2026-09-22 09:34:40-04:00,30849.0,30852.0,30845.5,30851.5,199
2026-09-22 09:34:50-04:00,30851.5,30865.75,30851.25,30864.75,438
2026-09-22 09:35:00-04:00,30865.5,30871.75,30864.75,30867.75,746
2026-09-22 09:35:10-04:00,30868.75,30869.25,30864.75,30868.0,351
2026-09-22 09:35:20-04:00,30868.0,30877.0,30864.25,30872.75,550
2026-09-22 09:35:30-04:00,30872.75,30877.5,30871.25,30876.25,374
2026-09-22 09:35:40-04:00,30877.25,30886.5,30876.5,30882.5,611
2026-09-22 09:35:50-04:00,30883.25,30886.0,30880.5,30882.0,389
2026-09-22 09:36:00-04:00,30882.25,30883.25,30878.25,30879.0,364
2026-09-22 09:36:10-04:00,30879.75,30883.0,30876.0,30881.25,277
2026-09-22 09:36:20-04:00,30881.0,30885.0,30879.75,30884.0,242
2026-09-22 09:36:30-04:00,30883.75,30885.25,30877.75,30881.0,281
2026-09-22 09:36:40-04:00,30880.75,30888.0,30879.5,30885.0,296
2026-09-22 09:36:50-04:00,30884.75,30894.25,30884.75,30892.0,470
2026-09-22 09:37:00-04:00,30891.5,30894.0,30887.0,30889.25,371
