time,open,high,low,close,volume
2026-08-07 09:39:00-04:00,7761.75,7762.0,7759.75,7760.25,954
2026-08-07 09:39:10-04:00,7760.25,7760.5,7759.25,7760.25,492
2026-08-07 09:39:20-04:00,7760.25,7761.25,7759.75,7761.0,582
2026-08-07 09:39:30-04:00,7761.25,7761.5,7758.75,7759.5,639
2026-08-07 09:39:40-04:00,7759.5,7760.25,7757.25,7757.25,918
2026-08-07 09:39:50-04:00,7757.5,7759.0,7756.75,7758.25,838
2026-08-07 09:40:00-04:00,7758.5,7759.25,7756.0,7757.0,1495
2026-08-07 09:40:10-04:00,7757.0,7760.5,7756.75,7760.5,738
2026-08-07 09:40:20-04:00,7760.25,7760.5,7758.25,7759.0,580
2026-08-07 09:40:30-04:00,7759.0,7759.0,7757.0,7758.75,824
2026-08-07 09:40:40-04:00,7758.75,7760.25,7758.75,7759.25,571
2026-08-07 09:40:50-04:00,7759.0,7761.75,7758.75,7760.75,772
2026-08-07 09:41:00-04:00,7760.75,7761.0,7759.5,7761.0,675
2026-08-07 09:41:10-04:00,7761.0,7761.25,7759.75,7760.75,550
2026-08-07 09:41:20-04:00,7760.5,7761.25,7760.0,7761.0,427
2026-08-07 09:41:30-04:00,7760.75,7762.25,7760.5,7762.25,655
2026-08-07 09:41:40-04:00,7762.25,7764.0,7761.25,7761.75,1506
2026-08-07 09:41:50-04:00,7761.75,7763.0,7758.0,7759.25,1200
2026-08-07 09:42:00-04:00,7759.0,7759.5,7758.25,7759.0,645
2026-08-07 09:42:10-04:00,7759.25,7759.5,7757.0,7758.25,708
2026-08-07 09:42:20-04:00,7758.25,7759.25,7757.25,7758.5,389
2026-08-07 09:42:30-04:00,7758.25,7758.75,7757.5,7758.0,437
2026-08-07 09:42:40-04:00,7758.0,7758.75,7757.0,7757.25,515
2026-08-07 09:42:50-04:00,7757.25,7760.75,7757.25,7760.75,590
2026-08-07 09:43:00-04:00,7760.75,7761.5,7759.5,7760.25,1314
2026-08-07 09:43:10-04:00,7760.0,7762.75,7759.75,7762.5,1116
2026-08-07 09:43:20-04:00,7762.5,7762.75,7761.5,7762.25,653
2026-08-07 09:43:30-04:00,7762.5,7763.0,7761.75,7762.75,705
2026-08-07 09:43:40-04:00,7762.5,7764.0,7762.25,7764.0,577
2026-08-07 09:43:50-04:00,7763.75,7766.5,7763.75,7766.25,1489
2026-08-07 09:44:00-04:00,7766.0,7767.5,7766.0,7767.0,1025
2026-08-07 09:44:10-04:00,7767.0,7767.5,7765.5,7765.5,871
2026-08-07 09:44:20-04:00,7765.5,7766.5,7764.75,7765.75,618
2026-08-07 09:44:30-04:00,7765.75,7766.75,7765.25,7766.0,1016
2026-08-07 09:44:40-04:00,7765.75,7767.25,7765.0,7767.0,513
